Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Wednesday,May,9,2018,n,n,y,n,n,BIRKIRKARA,"295,000"
Wednesday,May,9,2018,y,n,n,n,n,GOZO,"169,500"
Wednesday,May,9,2018,n,n,n,n,n,GOZO,"420,000"
Wednesday,May,9,2018,n,n,n,n,y,GOZO,"148,000"
Wednesday,May,9,2018,y,n,n,n,n,GŻIRA,"220,000"
Wednesday,May,9,2018,y,n,n,n,n,KAPPARA,"260,000"
Wednesday,May,9,2018,y,n,n,n,n,LIJA,NaN
Wednesday,May,9,2018,n,n,n,n,n,QAWRA,NaN
Wednesday,May,9,2018,y,n,n,n,n,SAN ĠWANN,"230,000"
Wednesday,May,9,2018,y,n,n,n,n,SLIEMA,"1,450"
Wednesday,May,9,2018,n,n,n,n,n,ST JULIANS,"350,000"
Wednesday,May,9,2018,n,y,y,n,n,SWIEQI,"490,000"
Tuesday,May,8,2018,n,n,y,n,y,GOZO,"325,000"
Tuesday,May,8,2018,y,n,n,n,n,LIJA,"285,000"
Tuesday,May,8,2018,y,n,n,n,n,QAWRA,"158,000"
Tuesday,May,8,2018,n,n,y,n,n,ST JULIANS,NaN
Monday,May,7,2018,y,n,n,n,n,FORT CAMBRIDGE,"990,000"
Monday,May,7,2018,y,n,n,n,n,GOZO,"150,000"
Monday,May,7,2018,y,n,n,n,n,GŻIRA,"220,000"
Sunday,May,6,2018,n,n,n,n,n,NaN,NaN
Sunday,May,6,2018,n,n,y,y,y,ATTARD ,"1,170"
Sunday,May,6,2018,n,n,y,y,n,ATTARD,"695,000"
Sunday,May,6,2018,n,n,y,n,y,ATTARD,"885,000"
Sunday,May,6,2018,n,n,n,n,n,ATTARD,"300,000"
Sunday,May,6,2018,y,n,y,n,n,ATTARD,"300,000"
Sunday,May,6,2018,n,n,n,n,n,ATTARD,"382,000"
Sunday,May,6,2018,y,n,y,n,n,ATTARD,"295,000"
Sunday,May,6,2018,n,y,y,n,n,ATTARD,"372,000"
Sunday,May,6,2018,y,n,n,n,n,ATTARD,"245,000"
Sunday,May,6,2018,y,n,y,n,n,ATTARD,NaN
Sunday,May,6,2018,y,n,n,n,n,ATTARD,"292,000"
Sunday,May,6,2018,y,n,n,n,n,ATTARD,"260,000"
Sunday,May,6,2018,n,n,n,y,y,ATTARD,"1,276"
Sunday,May,6,2018,n,n,y,n,n,ATTARD,"885,000"
Sunday,May,6,2018,y,n,y,n,n,ATTARD,"287,000"
Sunday,May,6,2018,n,n,y,n,y,ATTARD,"558,000"
Sunday,May,6,2018,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ ,"1,950"
Sunday,May,6,2018,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"225,000"
Sunday,May,6,2018,y,n,y,n,n,BAĦRIJA,"195,000"
Sunday,May,6,2018,y,n,y,n,n,BALLUTA BAY,"450,000"
Sunday,May,6,2018,n,n,n,n,n,BALZAN,"550,000"
Sunday,May,6,2018,n,n,n,n,n,BALZAN,"245,000"
Sunday,May,6,2018,n,y,y,n,n,BALZAN,"300,000"
Sunday,May,6,2018,y,n,n,n,n,BALZAN,"269,000"
Sunday,May,6,2018,n,n,y,y,y,BALZAN,"1,800"
Sunday,May,6,2018,y,n,n,n,n,BALZAN,"245,000"
Sunday,May,6,2018,n,n,n,n,n,BALZAN,"550,000"
Sunday,May,6,2018,y,n,y,n,n,BALZAN,"297,000"
Sunday,May,6,2018,n,n,y,n,y,BALZAN,"805,000"
Sunday,May,6,2018,n,n,n,n,n,BIDNIJA,"250,000"
Sunday,May,6,2018,n,n,n,y,n,BIDNIJA,"760,000"
Sunday,May,6,2018,n,n,y,n,n,BIRKIRKARA,NaN
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"210,000"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"240,000"
Sunday,May,6,2018,n,n,n,n,n,BIRKIRKARA,"285,000"
Sunday,May,6,2018,n,y,n,n,n,BIRKIRKARA,"297,000"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"159,000"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"195,000"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"245,000"
Sunday,May,6,2018,n,n,y,n,n,BIRKIRKARA,"295,000"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"162,000"
Sunday,May,6,2018,n,n,n,n,n,BIRKIRKARA,"1,350"
Sunday,May,6,2018,y,n,n,n,n,BIRKIRKARA,"285,000"
Sunday,May,6,2018,n,y,n,n,n,BIRKIRKARA,"135,000"
Sunday,May,6,2018,n,n,n,n,n,BIRKIRKARA,"235,000"
Sunday,May,6,2018,y,n,n,n,n,BUĠIBBA,"120,000"
Sunday,May,6,2018,y,n,n,n,n,BUĠIBBA,"125,000"
Sunday,May,6,2018,n,n,y,n,n,BUĠIBBA,"265,000"
Sunday,May,6,2018,y,n,n,n,n,BUĠIBBA,"137,000"
Sunday,May,6,2018,n,n,n,n,n,COSPICUA ,NaN
