Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Wednesday,May,23,2018,n,n,y,n,n,BIRKIRKARA,"295,000"
Wednesday,May,23,2018,y,n,n,n,n,GOZO,"150,000"
Wednesday,May,23,2018,n,n,n,n,y,GOZO,"198,000"
Wednesday,May,23,2018,y,n,n,n,n,GOZO,"110,000"
Wednesday,May,23,2018,y,n,y,n,n,LIJA,"285,000"
Wednesday,May,23,2018,n,n,n,n,n,NAXXAR,"295,000"
Wednesday,May,23,2018,n,n,n,n,n,QAWRA,"348,000"
Wednesday,May,23,2018,y,n,n,n,n,SAN ĠWANN,"230,000"
Wednesday,May,23,2018,n,y,n,n,n,ST JULIANS,"210,000"
Tuesday,May,22,2018,y,n,y,n,n,GOZO,"295,000"
Tuesday,May,22,2018,y,n,y,n,n,LIJA,"285,000"
Tuesday,May,22,2018,y,n,n,n,n,QAWRA,"158,000"
Tuesday,May,22,2018,y,n,n,n,n,SLIEMA,"2,390"
Tuesday,May,22,2018,n,y,n,n,n,ST JULIANS,"210,000"
Monday,May,21,2018,y,n,n,n,n,GOZO,"125,000"
Sunday,May,20,2018,n,n,n,n,n,NaN,NaN
Sunday,May,20,2018,n,n,y,y,n,ATTARD,"695,000"
Sunday,May,20,2018,y,n,y,n,n,ATTARD,NaN
Sunday,May,20,2018,y,n,y,n,n,ATTARD,"300,000"
Sunday,May,20,2018,n,n,y,n,n,ATTARD,"382,000"
Sunday,May,20,2018,n,n,n,n,n,ATTARD,"395,000"
Sunday,May,20,2018,y,n,n,n,n,ATTARD,"290,000"
Sunday,May,20,2018,n,n,y,n,y,ATTARD,"885,000"
Sunday,May,20,2018,y,n,y,n,n,ATTARD,"303,000"
Sunday,May,20,2018,n,y,y,n,n,ATTARD,"310,000"
Sunday,May,20,2018,n,n,n,y,y,ATTARD,"1,270"
Sunday,May,20,2018,n,n,n,n,n,ATTARD,"310,000"
Sunday,May,20,2018,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ,"1,950"
Sunday,May,20,2018,y,n,y,n,n,BAĦRIJA,"190,000"
Sunday,May,20,2018,y,n,y,n,n,BALZAN,"299,000"
Sunday,May,20,2018,y,n,n,n,n,BALZAN,"245,000"
Sunday,May,20,2018,n,y,y,n,n,BALZAN,"300,000"
Sunday,May,20,2018,y,n,y,n,n,BALZAN,"297,000"
Sunday,May,20,2018,n,n,n,y,n,BIDNIJA,"2,125"
Sunday,May,20,2018,y,n,n,n,n,BIRKIRKARA,"210,000"
Sunday,May,20,2018,y,n,n,n,n,BIRKIRKARA,"225,000"
Sunday,May,20,2018,n,y,n,n,n,BIRKIRKARA,"349,000"
Sunday,May,20,2018,y,n,n,n,n,BIRKIRKARA,"208,000"
Sunday,May,20,2018,y,n,n,n,n,BIRKIRKARA,"160,000"
Sunday,May,20,2018,y,y,n,n,n,BIRKIRKARA,"165,000"
Sunday,May,20,2018,n,n,y,n,n,BIRKIRKARA,"295,000"
Sunday,May,20,2018,n,y,n,n,n,BIRKIRKARA,"189,000"
Sunday,May,20,2018,y,n,n,n,n,BIRKIRKARA,"97,000"
Sunday,May,20,2018,n,y,n,n,n,BIRKIRKARA,"121,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,"163,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,"135,000"
Sunday,May,20,2018,y,y,n,n,n,BIRKIRKARA,"121,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,"170,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,"235,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,"170,000"
Sunday,May,20,2018,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,May,20,2018,y,n,n,n,n,BIRŻEBBUĠA,"165,000"
Sunday,May,20,2018,n,n,n,n,n,BIRŻEBBUĠA,NaN
Sunday,May,20,2018,n,n,n,n,n,BIRŻEBBUĠA,NaN
Sunday,May,20,2018,n,n,n,n,n,BIRŻEBBUĠA,"480,000"
Sunday,May,20,2018,y,y,n,n,n,BIRŻEBBUĠA,"127,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"119,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"130,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"130,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"118,500"
Sunday,May,20,2018,n,n,n,n,n,BUĠIBBA,"132,000"
Sunday,May,20,2018,n,n,y,n,n,BUĠIBBA,"180,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"350,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"119,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"410,000"
Sunday,May,20,2018,y,n,n,n,n,BUĠIBBA,"180,000"
Sunday,May,20,2018,n,n,n,n,n,COSPICUA ,"235,000"
Sunday,May,20,2018,n,y,n,n,n,DINGLI,"140,000"
Sunday,May,20,2018,n,n,n,n,n,FAWWARA,"185,000"
Sunday,May,20,2018,n,n,n,n,n,FGURA,"175,000"
Sunday,May,20,2018,n,n,y,n,n,FGURA,NaN
Sunday,May,20,2018,n,n,y,n,n,FGURA,NaN
Sunday,May,20,2018,n,y,n,n,n,FGURA,"150,000"
Sunday,May,20,2018,n,n,n,n,n,FGURA,"95,000"
Sunday,May,20,2018,n,n,n,n,n,FGURA,"155,000"
Sunday,May,20,2018,n,n,n,n,n,FGURA,NaN
Sunday,May,20,2018,n,y,n,n,n,FGURA,"195,000"
Sunday,May,20,2018,y,n,n,n,n,FGURA,"198,000"
Sunday,May,20,2018,n,n,y,n,n,FGURA,"295,000"
Sunday,May,20,2018,n,y,n,n,n,FGURA,"198,000"
