Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Friday,July,31,2015,n,n,n,n,n,NaN,NaN
Friday,July,31,2015,y,n,y,n,n,GOZO,"149,000"
Friday,July,31,2015,y,n,y,n,n,GOZO,"185,000"
Friday,July,31,2015,n,n,n,n,n,GOZO,"174,000"
Friday,July,31,2015,n,n,n,n,n,GOZO,"400,000"
Friday,July,31,2015,n,y,y,n,n,GOZO,"96,000"
Friday,July,31,2015,n,n,y,n,n,IKLIN,"325,000"
Friday,July,31,2015,n,n,y,n,n,KAPPARA,"560,000"
Friday,July,31,2015,n,y,y,n,n,LIJA,"199,000"
Friday,July,31,2015,n,n,y,n,y,MOSTA,NaN
Friday,July,31,2015,y,n,n,n,n,MSIDA,"135,000"
Friday,July,31,2015,n,n,n,n,n,NAXXAR,"189,000"
Friday,July,31,2015,y,n,n,n,n,NAXXAR,"129,000"
Friday,July,31,2015,y,n,n,n,n,SLIEMA,"389,000"
Friday,July,31,2015,n,n,y,n,n,ST JULIANS,"450,000"
Friday,July,31,2015,n,n,y,n,n,ST JULIANS,"280,000"
Friday,July,31,2015,n,y,n,n,n,ST VENERA,"95,000"
Friday,July,31,2015,y,n,n,n,n,TA' GIORNI,"170,000"
Friday,July,31,2015,y,n,n,n,n,TARXIEN,"110,000"
Friday,July,31,2015,n,n,n,n,n,VALLETTA,NaN
Thursday,July,30,2015,n,n,n,n,n,NaN,NaN
Thursday,July,30,2015,y,n,n,n,n,BALZAN,"152,000"
Thursday,July,30,2015,y,n,n,n,n,BIRKIRKARA,"100,000"
Thursday,July,30,2015,n,y,y,n,n,LIJA,"199,000"
Thursday,July,30,2015,y,y,n,n,n,NAXXAR,"125,000"
Thursday,July,30,2015,n,n,n,n,n,RABAT,"146,000"
Thursday,July,30,2015,n,n,n,n,n,ST JULIANS,"235,000"
Thursday,July,30,2015,n,y,n,n,n,ST VENERA,"95,000"
Thursday,July,30,2015,y,n,n,n,n,TARXIEN,"110,000"
Thursday,July,30,2015,y,n,n,n,n,ŻEJTUN,"135,000"
Wednesday,July,29,2015,n,n,n,n,n,NaN,NaN
Wednesday,July,29,2015,n,n,y,y,y,ATTARD,"690,000"
Wednesday,July,29,2015,y,n,y,n,n,BALZAN,"140,000"
Wednesday,July,29,2015,y,n,n,n,n,BIRKIRKARA,"150,000"
Wednesday,July,29,2015,y,n,n,n,n,BIRKIRKARA,"100,000"
Wednesday,July,29,2015,n,n,n,n,n,BIRKIRKARA,"108,000"
Wednesday,July,29,2015,y,n,n,n,n,FGURA,"109,000"
Wednesday,July,29,2015,y,n,n,n,n,FORT CAMBRIDGE,"259,000"
Wednesday,July,29,2015,y,n,y,n,n,GĦARGĦUR,"125,000"
Wednesday,July,29,2015,y,n,n,n,n,GOZO,"70,000"
Wednesday,July,29,2015,n,n,y,y,n,GOZO,"140,000"
Wednesday,July,29,2015,n,n,y,n,n,GOZO,"375,000"
Wednesday,July,29,2015,n,n,n,n,n,GOZO,"165,000"
Wednesday,July,29,2015,n,n,n,y,n,GOZO,"395,000"
Wednesday,July,29,2015,n,n,n,n,n,GOZO,"260,000"
Wednesday,July,29,2015,n,y,n,n,n,KIRKOP,"128,000"
Wednesday,July,29,2015,n,n,n,y,y,LIJA,"895,000"
Wednesday,July,29,2015,n,y,y,n,n,LIJA,"199,000"
Wednesday,July,29,2015,n,n,y,n,n,MARSA,NaN
Wednesday,July,29,2015,n,y,n,n,n,MARSA,"155,000"
Wednesday,July,29,2015,n,n,y,n,n,MARSASCALA,"145,000"
Wednesday,July,29,2015,y,n,n,y,n,MARSASCALA,"197,000"
Wednesday,July,29,2015,n,n,y,n,n,MARSASCALA,"180,000"
Wednesday,July,29,2015,y,n,n,y,n,MELLIEĦA,"327,450"
Wednesday,July,29,2015,y,n,y,n,n,MOSTA,"130,000"
Wednesday,July,29,2015,n,y,n,n,n,MOSTA,"135,000"
Wednesday,July,29,2015,n,n,y,n,y,MOSTA,NaN
Wednesday,July,29,2015,n,n,y,n,n,MSIDA,"135,000"
Wednesday,July,29,2015,y,n,n,n,n,MSIDA,"125,000"
Wednesday,July,29,2015,n,n,n,n,n,MSIDA,"140,000"
Wednesday,July,29,2015,y,n,y,n,n,PWALES,"110,000"
Wednesday,July,29,2015,n,n,n,n,n,QAWRA,"75,000"
Wednesday,July,29,2015,y,n,y,n,n,QAWRA,"244,000"
Wednesday,July,29,2015,n,n,n,n,n,QORMI,"125,000"
Wednesday,July,29,2015,y,n,n,n,n,RABAT,"86,000"
Wednesday,July,29,2015,y,n,y,n,n,RABAT,"235,000"
