Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,August,13,2018,y,n,n,n,n,TAL-IBRAĠ,NaN
Monday,August,13,2018,n,n,y,n,y,TAL-IBRAĠ,"480,000"
Sunday,August,12,2018,n,n,n,n,n,NaN,NaN
Sunday,August,12,2018,n,n,n,y,n,ATTARD,NaN
Sunday,August,12,2018,y,n,n,n,n,ATTARD,"350,000"
Sunday,August,12,2018,n,n,n,y,n,ATTARD,"500,000"
Sunday,August,12,2018,n,n,n,n,n,ATTARD,"915,000"
Sunday,August,12,2018,n,n,y,y,n,ATTARD,"1,370"
Sunday,August,12,2018,y,n,n,n,n,ATTARD,"350,000"
Sunday,August,12,2018,y,n,y,n,n,ATTARD,"290,000"
Sunday,August,12,2018,n,n,y,n,n,ATTARD,"310,000"
Sunday,August,12,2018,n,n,n,n,n,ATTARD,"980,000"
Sunday,August,12,2018,n,n,n,y,n,NaN,"1,000"
Sunday,August,12,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"200,000"
Sunday,August,12,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"265,000"
Sunday,August,12,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,August,12,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"265,000"
Sunday,August,12,2018,n,n,n,n,n,BALLUTA,"100,000"
Sunday,August,12,2018,n,n,y,n,n,BALZAN,"775,900"
Sunday,August,12,2018,n,n,n,n,y,BALZAN,"270,000"
Sunday,August,12,2018,n,n,n,n,n,BALZAN,"375,000"
Sunday,August,12,2018,n,n,n,n,n,BINĠEMMA,"1,175"
Sunday,August,12,2018,n,n,y,y,n,BIRGUMA,"1,190"
Sunday,August,12,2018,n,y,y,n,y,BIRKIRKARA,"395,000"
Sunday,August,12,2018,n,y,n,n,n,BIRKIRKARA,NaN
Sunday,August,12,2018,n,n,y,y,n,BIRKIRKARA,"620,000"
Sunday,August,12,2018,n,n,y,n,n,BIRKIRKARA,"34,000"
Sunday,August,12,2018,y,n,n,n,n,BIRKIRKARA,"160,000"
Sunday,August,12,2018,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,August,12,2018,n,n,n,n,n,BIRKIRKARA,"210,000"
Sunday,August,12,2018,n,y,n,n,n,BIRKIRKARA,"290,000"
Sunday,August,12,2018,n,n,n,n,n,BIRKIRKARA,"295,000"
Sunday,August,12,2018,n,n,n,n,n,BIRKIRKARA,"155,000"
Sunday,August,12,2018,n,n,n,n,n,BIRKIRKARA,"149,000"
Sunday,August,12,2018,y,n,n,n,n,BUĠIBBA,"149,000"
Sunday,August,12,2018,y,n,n,n,n,BUĠIBBA,"190,000"
Sunday,August,12,2018,n,y,y,n,n,BUĠIBBA,"157,000"
Sunday,August,12,2018,n,n,n,n,n,BUĠIBBA,"160,000"
Sunday,August,12,2018,n,n,n,n,n,BUĠIBBA,"135,000"
Sunday,August,12,2018,n,n,n,n,n,BUĠIBBA,"140,000"
Sunday,August,12,2018,n,n,y,y,y,BUSKETT,"1,270"
Sunday,August,12,2018,n,n,n,n,n,COSPICUA ,"289,000"
Sunday,August,12,2018,n,y,n,n,n,COSPICUA,"159,000"
Sunday,August,12,2018,n,n,y,n,n,FGURA,NaN
Sunday,August,12,2018,y,n,n,n,n,FGURA,"155,000"
Sunday,August,12,2018,n,n,y,y,n,FGURA,"583,000"
Sunday,August,12,2018,n,n,n,n,n,FLORIANA,"400,000"
Sunday,August,12,2018,n,n,n,n,n,FORT CAMBRIDGE,"740,000"
Sunday,August,12,2018,n,y,y,n,n,GĦARGĦUR,"399,000"
Sunday,August,12,2018,n,n,y,n,n,GĦARGĦUR,"640,000"
Sunday,August,12,2018,n,n,n,y,y,GĦARGĦUR,NaN
Sunday,August,12,2018,y,n,n,n,n,GOZO,"122,000"
Sunday,August,12,2018,n,n,y,n,n,GOZO,"150,000"
Sunday,August,12,2018,n,n,n,n,n,GOZO,NaN
Sunday,August,12,2018,n,n,n,n,n,GOZO,"110,000"
Sunday,August,12,2018,n,y,n,n,n,GOZO,"139,000"
Sunday,August,12,2018,y,n,n,n,n,GOZO,"150,000"
Sunday,August,12,2018,n,n,n,n,n,GOZO,"100,000"
Sunday,August,12,2018,y,n,n,n,n,GOZO,"153,000"
Sunday,August,12,2018,n,n,y,n,n,GOZO,NaN
Sunday,August,12,2018,n,n,y,y,n,GOZO,"275,000"
Sunday,August,12,2018,y,n,n,y,n,GOZO,"165,000"
Sunday,August,12,2018,n,n,n,n,n,GOZO,"210,000"
Sunday,August,12,2018,n,n,n,n,n,GOZO,NaN
Sunday,August,12,2018,n,n,n,y,y,GOZO,"260,000"
Sunday,August,12,2018,y,n,n,y,n,GOZO,"225,000"
Sunday,August,12,2018,n,n,n,y,n,GOZO,"365,000"
Sunday,August,12,2018,n,n,n,n,n,GOZO,"140,000"
Sunday,August,12,2018,n,n,n,n,y,GOZO,"275,000"
Sunday,August,12,2018,y,n,n,y,n,GOZO,"425,000"
Sunday,August,12,2018,n,n,n,n,n,GUARDAMANGIA,"230,000"
Sunday,August,12,2018,y,n,n,n,n,GUARDAMANGIA,"130,000"
Sunday,August,12,2018,n,y,n,n,n,GUARDAMANGIA,"210,000"
Sunday,August,12,2018,n,n,n,n,n,GUDJA,"195,000"
Sunday,August,12,2018,n,n,n,n,n,GUDJA,"695,000"
Sunday,August,12,2018,y,n,n,n,n,GŻIRA,"260,000"
Sunday,August,12,2018,n,n,n,n,n,GŻIRA,"185,000"
Sunday,August,12,2018,y,n,n,n,n,GŻIRA,NaN
Sunday,August,12,2018,y,n,n,n,n,GŻIRA,"215,000"
Sunday,August,12,2018,y,n,y,n,n,GŻIRA,"290,000"
Sunday,August,12,2018,y,n,n,n,n,GŻIRA,"280,000"
Sunday,August,12,2018,n,y,n,n,n,GŻIRA,"182,000"
Sunday,August,12,2018,n,n,n,y,y,GŻIRA,NaN
Sunday,August,12,2018,y,n,n,n,n,ĦAMRUN,"165,000"
Sunday,August,12,2018,n,y,n,n,n,ĦAMRUN,"160,000"
Sunday,August,12,2018,y,y,n,n,n,ĦAMRUN,"175,000"
Sunday,August,12,2018,n,y,n,n,n,ĦAMRUN,"160,000"
