Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Thursday,July,28,2016,n,n,y,n,n,BIRKIRKARA,NaN
Thursday,July,28,2016,n,n,n,n,n,DINGLI,NaN
Thursday,July,28,2016,y,n,n,n,n,GŻIRA,"146,000"
Thursday,July,28,2016,n,n,n,n,n,MĠARR,"235,000"
Thursday,July,28,2016,y,n,y,n,n,MRIEĦEL,"150,000"
Thursday,July,28,2016,n,n,n,n,n,PAOLA,NaN
Thursday,July,28,2016,y,n,n,n,n,QORMI,NaN
Thursday,July,28,2016,n,n,n,n,n,SAN PAWL TAT-TARĠA,NaN
Thursday,July,28,2016,n,y,y,n,n,THE VILLAGE,"275,000"
Wednesday,July,27,2016,y,n,n,n,n,BALLUTA,"450,000"
Wednesday,July,27,2016,n,n,y,y,y,BIRGUMA,NaN
Wednesday,July,27,2016,n,n,y,n,n,BIRKIRKARA,NaN
Wednesday,July,27,2016,n,n,y,n,n,NaN,NaN
Wednesday,July,27,2016,y,n,y,n,n,GOZO,"110,000"
Wednesday,July,27,2016,y,n,n,n,n,GOZO,"92,000"
Wednesday,July,27,2016,n,n,n,n,n,GOZO,"255,000"
Wednesday,July,27,2016,n,n,n,n,n,GOZO,"297,000"
Wednesday,July,27,2016,n,y,n,n,n,GOZO,"250,000"
Wednesday,July,27,2016,y,n,n,n,n,GOZO,"75,000"
Wednesday,July,27,2016,n,y,n,n,n,GOZO,"124,000"
Wednesday,July,27,2016,y,n,y,y,n,GŻIRA,"200,000"
Wednesday,July,27,2016,n,n,y,n,n,MARSASCALA,"36,000"
Wednesday,July,27,2016,y,n,n,n,n,MARSAXLOKK,NaN
Wednesday,July,27,2016,y,n,n,n,n,MĠARR,"150,000"
Wednesday,July,27,2016,n,n,n,n,n,PIETÀ,"180,000"
Wednesday,July,27,2016,y,n,n,n,n,PORTOMASO,"1,795"
Wednesday,July,27,2016,y,n,n,n,n,QORMI,NaN
Wednesday,July,27,2016,n,n,n,n,n,SLIEMA ,NaN
Wednesday,July,27,2016,y,n,n,n,n,SLIEMA,"350,000"
Wednesday,July,27,2016,y,n,n,n,n,SLIEMA,"175,000"
Wednesday,July,27,2016,y,n,y,n,n,ST JULIANS,"325,000"
Wednesday,July,27,2016,n,n,y,y,n,ST JULIANS,"630,000"
Wednesday,July,27,2016,y,n,n,n,n,ST JULIANS,"170,000"
Wednesday,July,27,2016,n,y,y,n,n,SWIEQI,"330,000"
Wednesday,July,27,2016,n,n,y,n,n,TAL-IBRAĠ,"23,000"
Wednesday,July,27,2016,y,n,n,n,n,TAL-IBRAĠ,"415,000"
Wednesday,July,27,2016,y,n,n,n,n,TAL-IBRAĠ,"250,000"
Tuesday,July,26,2016,n,n,y,n,n,BIRKIRKARA,NaN
Tuesday,July,26,2016,n,n,n,n,n,MĠARR,"235,000"
Tuesday,July,26,2016,y,n,n,n,n,QORMI,NaN
Tuesday,July,26,2016,y,n,n,n,n,ST JULIANS,"140,000"
Tuesday,July,26,2016,n,n,n,n,n,ST JULIANS,"300,000"
Tuesday,July,26,2016,n,y,y,n,n,THE VILLAGE,"275,000"
Monday,July,25,2016,n,n,n,n,n,ST VENERA,"135,000"
Sunday,July,24,2016,n,n,n,n,n,NaN,NaN
Sunday,July,24,2016,n,y,n,n,n, PERSONAL SERVICE,NaN
Sunday,July,24,2016,n,y,n,n,n,ATTARD,NaN
Sunday,July,24,2016,n,y,n,n,n,ATTARD,"260,000"
Sunday,July,24,2016,n,n,n,n,n,ATTARD,"270,000"
Sunday,July,24,2016,y,n,n,n,n,ATTARD,"270,000"
Sunday,July,24,2016,n,n,n,n,n,ATTARD,"200,000"
Sunday,July,24,2016,y,n,n,n,n,ATTARD,"155,000"
Sunday,July,24,2016,n,y,y,n,n,ATTARD,"345,000"
Sunday,July,24,2016,n,n,n,n,n,ATTARD,"480,000"
Sunday,July,24,2016,n,y,n,n,n,ATTARD,"259,000"
Sunday,July,24,2016,n,n,y,n,n,ATTARD,"250,000"
Sunday,July,24,2016,n,y,y,n,n,ATTARD,"240,000"
Sunday,July,24,2016,n,n,n,n,n,ATTARD,"320,000"
Sunday,July,24,2016,n,n,n,n,n,ATTARD,NaN
Sunday,July,24,2016,n,n,n,n,n,ATTARD,"139,000"
