Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,August,20,2018,n,n,n,y,y,GOZO,"680,000"
Monday,August,20,2018,y,n,n,n,n,TAL-IBRAĠ,NaN
Sunday,August,19,2018,y,n,n,n,n,ATTARD,"350,000"
Sunday,August,19,2018,n,n,y,n,n,ATTARD,"850,000"
Sunday,August,19,2018,n,n,n,n,n,ATTARD,"915,000"
Sunday,August,19,2018,n,n,n,n,n,ATTARD,"239,000"
Sunday,August,19,2018,n,n,n,n,n,ATTARD,"415,000"
Sunday,August,19,2018,n,n,n,n,n,ATTARD,NaN
Sunday,August,19,2018,n,y,n,n,n,ATTARD,"212,000"
Sunday,August,19,2018,n,n,y,y,n,ATTARD,"650,000"
Sunday,August,19,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"200,000"
Sunday,August,19,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"310,000"
Sunday,August,19,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"335,000"
Sunday,August,19,2018,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"310,000"
Sunday,August,19,2018,y,n,n,n,n,BAĦRIJA,"250,000"
Sunday,August,19,2018,n,y,n,y,n,BALZAN,"3,000"
Sunday,August,19,2018,n,n,y,n,y,BALZAN,"750,000"
Sunday,August,19,2018,n,n,n,n,y,BALZAN,"270,000"
Sunday,August,19,2018,y,n,n,n,n,BIRGUMA,"385,000"
Sunday,August,19,2018,n,n,y,y,y,BIRGUMA,"1,200"
Sunday,August,19,2018,n,y,n,n,n,BIRKIRKARA,NaN
Sunday,August,19,2018,n,n,y,y,n,BIRKIRKARA,"620,000"
Sunday,August,19,2018,n,n,n,n,n,BIRKIRKARA,"250,000"
Sunday,August,19,2018,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,August,19,2018,n,n,n,n,n,BIRKIRKARA,"210,000"
Sunday,August,19,2018,n,n,n,n,n,BIRKIRKARA,"149,000"
Sunday,August,19,2018,n,n,n,n,n,BIRŻEBBUĠA,"165,000"
Sunday,August,19,2018,n,n,n,n,n,BIRŻEBBUĠA,"585,000"
Sunday,August,19,2018,y,n,y,n,n,BIRŻEBBUĠA,"197,000"
Sunday,August,19,2018,n,y,y,n,n,BUĠIBBA,NaN
Sunday,August,19,2018,y,n,n,n,n,BUĠIBBA,"128,000"
Sunday,August,19,2018,y,n,n,n,n,BUĠIBBA,"149,000"
Sunday,August,19,2018,y,n,n,n,n,BUĠIBBA,"190,000"
Sunday,August,19,2018,n,n,n,n,n,BUĠIBBA,"160,000"
Sunday,August,19,2018,n,n,n,n,n,BUĠIBBA,"135,000"
Sunday,August,19,2018,y,n,n,n,n,BURMARRAD,"320,000"
Sunday,August,19,2018,n,n,n,n,n,COSPICUA ,"289,000"
Sunday,August,19,2018,n,y,n,n,n,COSPICUA,"260,000"
Sunday,August,19,2018,n,y,n,n,n,COSPICUA,"159,000"
Sunday,August,19,2018,n,n,n,n,n,DINGLI,"210,000"
Sunday,August,19,2018,n,n,y,n,n,FGURA,NaN
Sunday,August,19,2018,n,n,n,n,n,FGURA,"160,000"
Sunday,August,19,2018,n,n,n,n,n,FGURA,"197,000"
Sunday,August,19,2018,n,y,n,n,n,GOZO,"850,000"
Sunday,August,19,2018,n,n,n,y,y,GOZO,"650,000"
Sunday,August,19,2018,n,n,y,n,n,GOZO,"150,000"
Sunday,August,19,2018,n,n,n,n,n,GOZO,"335,000"
Sunday,August,19,2018,n,n,n,n,n,GOZO,"139,000"
Sunday,August,19,2018,y,n,n,n,n,GOZO,"150,000"
Sunday,August,19,2018,y,n,n,y,n,GOZO,NaN
Sunday,August,19,2018,n,n,y,n,n,GOZO,NaN
Sunday,August,19,2018,n,n,n,y,y,GOZO,"325,000"
Sunday,August,19,2018,n,n,y,y,n,GOZO,NaN
Sunday,August,19,2018,y,n,n,n,n,GOZO,"135,000"
Sunday,August,19,2018,n,n,n,n,n,GOZO,"250,000"
Sunday,August,19,2018,n,n,n,y,n,GOZO,"340,000"
Sunday,August,19,2018,n,n,n,y,y,GOZO,"260,000"
Sunday,August,19,2018,n,n,n,y,n,GOZO,"635,000"
Sunday,August,19,2018,n,n,n,y,n,GOZO,"365,000"
Sunday,August,19,2018,y,n,n,y,n,GOZO,"136,000"
Sunday,August,19,2018,n,n,n,y,n,GOZO,"450,000"
Sunday,August,19,2018,n,n,y,y,n,GOZO,"985,000"
Sunday,August,19,2018,n,n,y,y,y,GOZO,"225,000"
Sunday,August,19,2018,n,n,n,n,n,GUARDAMANGIA,"230,000"
Sunday,August,19,2018,n,n,n,n,n,GUARDAMANGIA,"210,000"
Sunday,August,19,2018,y,n,n,n,n,GUARDAMANGIA,"200,000"
Sunday,August,19,2018,n,n,n,n,n,GUDJA,"695,000"
Sunday,August,19,2018,n,n,n,n,n,GŻIRA,"275,000"
Sunday,August,19,2018,y,n,n,n,n,GŻIRA,"260,000"
Sunday,August,19,2018,n,n,n,n,n,GŻIRA,"240,000"
Sunday,August,19,2018,y,n,n,n,n,GŻIRA,"260,000"
Sunday,August,19,2018,y,n,y,n,n,GŻIRA,"290,000"
Sunday,August,19,2018,y,n,n,n,n,GŻIRA,"280,000"
Sunday,August,19,2018,n,n,n,n,n,GŻIRA,"275,000"
Sunday,August,19,2018,y,n,y,n,n,GŻIRA,"295,000"
Sunday,August,19,2018,n,n,n,n,n,GŻIRA,NaN
Sunday,August,19,2018,n,n,n,n,n,GĦARGĦUR,"445,000"
Sunday,August,19,2018,y,n,y,n,n,GĦARGĦUR,"380,000"
Sunday,August,19,2018,y,n,y,n,n,GĦARGĦUR,"426,000"
Sunday,August,19,2018,n,n,y,n,n,GĦARGĦUR,"570,000"
Sunday,August,19,2018,n,n,n,y,y,GĦARGĦUR,"1,700"
Sunday,August,19,2018,y,n,n,n,n,GĦARGĦUR,"210,000"
Sunday,August,19,2018,y,n,n,n,n,ĦAMRUN,"165,000"
Sunday,August,19,2018,n,y,n,n,n,ĦAMRUN,"130,000"
Sunday,August,19,2018,n,n,n,n,n,ĦAMRUN,NaN
Sunday,August,19,2018,y,n,n,n,n,ĦAMRUN,"108,000"
