Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,May,1,2017,n,n,n,n,n,GĦARGĦUR,"425,000"
Monday,May,1,2017,n,n,y,y,y,SAN PAWL TAT-TARĠA,"690,000"
Monday,May,1,2017,y,n,y,n,n,SLIEMA,"275,000"
Monday,May,1,2017,n,y,n,y,y,SWIEQI,"367,500"
Sunday,April,30,2017,n,n,n,n,n,NaN,NaN
Sunday,April,30,2017,n,n,n,n,n,NaN,NaN
Sunday,April,30,2017,n,n,n,n,n,NaN,NaN
Sunday,April,30,2017,n,n,n,y,n,ATTARD,"340,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,NaN
Sunday,April,30,2017,n,n,n,y,n,ATTARD,"950,000"
Sunday,April,30,2017,n,n,y,y,n,ATTARD,NaN
Sunday,April,30,2017,y,n,n,n,n,ATTARD,"205,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,"480,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,"210,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,"978,000"
Sunday,April,30,2017,n,n,n,n,n,NaN,NaN
Sunday,April,30,2017,y,n,n,n,n,ATTARD,"235,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,"415,000"
Sunday,April,30,2017,y,n,n,n,n,ATTARD,"195,000"
Sunday,April,30,2017,n,y,n,n,n,ATTARD,"280,000"
Sunday,April,30,2017,y,n,y,n,n,ATTARD,"275,000"
Sunday,April,30,2017,n,n,y,n,n,ATTARD,"33,000"
Sunday,April,30,2017,n,y,y,n,n,ATTARD,"375,000"
Sunday,April,30,2017,n,n,y,n,y,ATTARD,"620,000"
Sunday,April,30,2017,n,n,y,n,y,ATTARD,"750,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,NaN
Sunday,April,30,2017,y,n,y,n,n,ATTARD,"140,000"
Sunday,April,30,2017,n,y,n,n,n,ATTARD,"280,000"
Sunday,April,30,2017,n,n,n,n,n,ATTARD,"850,000"
Sunday,April,30,2017,n,y,n,n,n,NaN,NaN
Sunday,April,30,2017,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"290,000"
Sunday,April,30,2017,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"185,000"
Sunday,April,30,2017,n,y,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"400,000"
Sunday,April,30,2017,y,n,y,n,n,BAĦRIJA,"200,000"
Sunday,April,30,2017,n,n,n,n,n,BALZAN,NaN
Sunday,April,30,2017,y,n,n,n,n,BALZAN,"190,000"
Sunday,April,30,2017,n,y,n,n,n,BALZAN,"315,000"
Sunday,April,30,2017,n,n,n,n,y,BALZAN,"265,500"
Sunday,April,30,2017,n,n,n,y,y,BIDNIJA,NaN
Sunday,April,30,2017,n,n,y,y,y,BIRGUMA,"888,000"
Sunday,April,30,2017,n,n,n,n,n,BIRKIRKARA,"189,000"
Sunday,April,30,2017,n,n,n,n,y,BIRKIRKARA,"260,000"
Sunday,April,30,2017,n,n,y,n,n,BIRKIRKARA,"117,000"
Sunday,April,30,2017,n,n,y,n,n,BIRKIRKARA,"37,000"
Sunday,April,30,2017,n,n,n,n,y,BIRKIRKARA,"670,000"
Sunday,April,30,2017,n,n,n,n,n,BIRKIRKARA,"126,000"
Sunday,April,30,2017,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,April,30,2017,n,y,n,n,n,BIRKIRKARA,"275,000"
Sunday,April,30,2017,y,n,y,n,n,BIRKIRKARA,"229,500"
Sunday,April,30,2017,y,n,n,n,n,BIRKIRKARA,"160,000"
Sunday,April,30,2017,n,n,n,n,n,BIRKIRKARA,"130,000"
Sunday,April,30,2017,n,y,n,n,n,BIRKIRKARA,"325,000"
Sunday,April,30,2017,n,n,y,y,n,BIRKIRKARA,NaN
Sunday,April,30,2017,y,n,n,n,n,BIRKIRKARA,"150,000"
Sunday,April,30,2017,y,n,n,n,n,BIRKIRKARA,"185,000"
Sunday,April,30,2017,n,n,y,n,y,BIRKIRKARA,"190,000"
Sunday,April,30,2017,n,y,n,n,n,BIRŻEBBUĠA,"269,000"
