Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,May,2,2016,y,n,n,n,n,GOZO,"115,000"
Monday,May,2,2016,n,n,n,n,n,GOZO,"150,000"
Monday,May,2,2016,y,n,n,n,n,MARSASCALA,"115,000"
Monday,May,2,2016,n,n,n,n,n,QAWRA,"140,000"
Monday,May,2,2016,n,n,n,n,n,SLIEMA,"695,000"
Monday,May,2,2016,y,n,n,n,n,ST JULIANS,"265,000"
Monday,May,2,2016,n,y,y,n,n, SWIEQI,NaN
Sunday,May,1,2016,n,n,n,n,n,NaN,NaN
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"175,000"
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"165,000"
Sunday,May,1,2016,n,n,y,n,n,ATTARD,"375,000"
Sunday,May,1,2016,n,n,n,n,y,ATTARD,"462,000"
Sunday,May,1,2016,n,y,y,n,n,ATTARD,NaN
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"350,000"
Sunday,May,1,2016,n,n,n,n,n,ATTARD,"1,200"
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"155,000"
Sunday,May,1,2016,n,n,n,n,n,ATTARD,"210,000"
Sunday,May,1,2016,n,n,y,n,n,ATTARD,"450,000"
Sunday,May,1,2016,n,n,n,n,n,ATTARD,"299,000"
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"135,000"
Sunday,May,1,2016,n,n,n,n,n,ATTARD,"178,500"
Sunday,May,1,2016,n,y,n,n,n,ATTARD,"269,000"
Sunday,May,1,2016,n,y,y,n,n,ATTARD,"340,000"
Sunday,May,1,2016,y,n,n,n,n,ATTARD,"155,000"
Sunday,May,1,2016,n,y,n,n,n,NaN,NaN
Sunday,May,1,2016,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ,"640,000"
Sunday,May,1,2016,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ,"650,000"
Sunday,May,1,2016,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"230,000"
Sunday,May,1,2016,n,y,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"255,000"
Sunday,May,1,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,May,1,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,May,1,2016,n,n,n,y,n,BAĦAR IĊ-ĊAGĦAQ,"505,000"
Sunday,May,1,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"128,000"
Sunday,May,1,2016,n,y,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"196,000"
Sunday,May,1,2016,n,y,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"550,000"
Sunday,May,1,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"215,000"
Sunday,May,1,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,May,1,2016,y,n,n,n,n,BALZAN,"150,000"
