Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Friday,October,30,2015,n,n,n,n,n,NaN,NaN
Friday,October,30,2015,n,n,n,n,y,ATTARD,"1,350"
Friday,October,30,2015,y,n,n,n,n,BALZAN,"175,000"
Friday,October,30,2015,n,n,n,y,n,GOZO,"295,000"
Friday,October,30,2015,n,n,n,y,y,GOZO,"335,000"
Friday,October,30,2015,n,n,n,n,n,GOZO,"340,000"
Friday,October,30,2015,n,y,n,n,n,GOZO,"150,000"
Friday,October,30,2015,n,y,y,n,n,LIJA,"199,000"
Friday,October,30,2015,y,n,n,n,n,MADLIENA,"254,000"
Friday,October,30,2015,y,n,n,n,n,MARSASCALA,"110,000"
Friday,October,30,2015,y,n,n,n,n,MSIDA,"156,000"
Friday,October,30,2015,n,n,n,n,n,RABAT,"125,000"
Friday,October,30,2015,n,y,n,n,n,SLIEMA,"295,000"
Friday,October,30,2015,n,n,y,n,n,ST JULIANS,"500,000"
Friday,October,30,2015,y,y,n,n,n,ST JULIANS,"155,000"
Friday,October,30,2015,n,n,n,n,n,ST JULIANS,"400,000"
Friday,October,30,2015,n,n,y,n,n,TAL-IBRAĠ,"275,000"
Thursday,October,29,2015,n,n,n,n,n,NaN,NaN
Thursday,October,29,2015,n,n,n,n,y,ATTARD,"1,350"
Thursday,October,29,2015,y,n,n,n,n,BALZAN,"147,000"
Thursday,October,29,2015,y,n,y,n,n,BALZAN,"175,000"
Thursday,October,29,2015,y,n,n,n,n,GĦAXAQ,"158,000"
Thursday,October,29,2015,n,y,y,n,n,LIJA,"199,000"
Thursday,October,29,2015,y,n,n,n,n,NAXXAR,"232,000"
Thursday,October,29,2015,n,n,n,n,n,RABAT,"125,000"
Thursday,October,29,2015,y,n,n,n,n,ST JULIANS,"230,000"
Thursday,October,29,2015,y,y,n,n,n,ST JULIANS,"155,000"
Thursday,October,29,2015,n,y,n,n,n,ST VENERA,"95,000"
Thursday,October,29,2015,n,n,n,n,n,ŻABBAR,NaN
Wednesday,October,28,2015,n,n,n,n,n,NaN,NaN
Wednesday,October,28,2015,n,n,n,n,y,ATTARD,"1,350"
Wednesday,October,28,2015,y,n,n,n,n,BALZAN,"175,000"
Wednesday,October,28,2015,y,n,y,n,n,BALZAN,"149,000"
Wednesday,October,28,2015,n,y,y,n,n,BALZAN,"79,000"
Wednesday,October,28,2015,y,n,y,n,n,BALZAN,"175,000"
Wednesday,October,28,2015,n,n,y,n,n,BALZAN,"168,000"
Wednesday,October,28,2015,n,n,n,y,n,BIRGUMA,"800,000"
Wednesday,October,28,2015,n,n,n,n,n,FLORIANA,"25,000"
Wednesday,October,28,2015,n,n,y,n,n,GĦAXAQ,NaN
Wednesday,October,28,2015,y,n,n,n,n,GOZO,"125,000"
Wednesday,October,28,2015,n,n,n,n,n,GOZO,"235,000"
Wednesday,October,28,2015,y,n,n,n,n,GOZO,"145,000"
Wednesday,October,28,2015,n,y,y,n,n,LIJA,"199,000"
Wednesday,October,28,2015,y,n,n,n,n,MARSASCALA,NaN
Wednesday,October,28,2015,y,n,n,n,n,MARSASCALA,"110,000"
