Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,September,4,2017,n,n,y,n,n,GOZO,"350,000"
Monday,September,4,2017,y,n,n,n,n,SLIEMA,"310,000"
Monday,September,4,2017,n,n,n,n,n,ŻEBBIEGĦ,"600,000"
Sunday,September,3,2017,n,n,n,n,n,NaN,NaN
Sunday,September,3,2017,n,n,n,n,n,NaN,NaN
Sunday,September,3,2017,n,n,n,n,n,ATTARD,NaN
Sunday,September,3,2017,y,n,n,n,n,ATTARD,"222,000"
Sunday,September,3,2017,n,y,n,n,n,ATTARD,NaN
Sunday,September,3,2017,n,n,y,n,y,NaN,"585,000"
Sunday,September,3,2017,n,y,n,n,n,NaN,NaN
Sunday,September,3,2017,n,y,y,n,n,ATTARD,"260,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"235,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"319,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"300,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"318,000"
Sunday,September,3,2017,y,n,n,n,n,ATTARD,"175,000"
Sunday,September,3,2017,n,y,n,n,n,ATTARD,"295,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"285,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"318,000"
Sunday,September,3,2017,y,n,y,n,n,ATTARD,"335,000"
Sunday,September,3,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"2,650"
Sunday,September,3,2017,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,September,3,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"230,000"
Sunday,September,3,2017,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"145,000"
Sunday,September,3,2017,n,n,n,n,n,BAĦRIJA,"750,000"
Sunday,September,3,2017,y,n,y,n,n,BAĦRIJA,"180,000"
Sunday,September,3,2017,n,y,y,n,n,BALZAN,NaN
Sunday,September,3,2017,n,n,y,n,n,BALZAN,"330,000"
Sunday,September,3,2017,n,n,n,n,y,BALZAN,NaN
Sunday,September,3,2017,n,y,y,n,n,BALZAN,"335,000"
Sunday,September,3,2017,y,n,n,n,n,BALZAN,"265,000"
Sunday,September,3,2017,y,n,n,n,n,BALZAN,"185,000"
Sunday,September,3,2017,y,n,n,n,n,BALZAN,"230,000"
Sunday,September,3,2017,n,n,n,y,y,BIRGUMA,NaN
Sunday,September,3,2017,n,n,y,y,y,BIRGUMA,"888,000"
Sunday,September,3,2017,n,n,n,y,n,BIRGUMA,"775,000"
Sunday,September,3,2017,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,September,3,2017,y,n,n,n,n,BIRKIRKARA,"165,000"
Sunday,September,3,2017,y,n,n,n,n,BIRKIRKARA,"156,000"
Sunday,September,3,2017,n,y,n,n,n,BIRKIRKARA,"280,000"
Sunday,September,3,2017,y,n,n,n,n,BIRKIRKARA,"168,000"
Sunday,September,3,2017,n,n,n,n,n,BIRKIRKARA,"300,000"
Sunday,September,3,2017,n,y,y,n,n,BIRKIRKARA,"280,000"
Sunday,September,3,2017,y,n,n,n,n,BIRKIRKARA,"136,000"
Sunday,September,3,2017,n,y,n,n,n,BIRKIRKARA,"240,000"
Sunday,September,3,2017,n,y,y,n,n,BIRKIRKARA,NaN
Sunday,September,3,2017,n,y,y,n,n,BIRKIRKARA,"270,000"
Sunday,September,3,2017,y,n,n,n,n,BIRKIRKARA,NaN
Sunday,September,3,2017,n,n,n,n,n,BIRKIRKARA,"140,000"
Sunday,September,3,2017,n,n,n,y,n,BIRKIRKARA,"750,000"
Sunday,September,3,2017,n,n,n,n,n,BIRŻEBBUĠA,"99,950"
Sunday,September,3,2017,n,n,n,n,n,BIRŻEBBUĠA,NaN
Sunday,September,3,2017,n,n,n,n,n,BIRŻEBBUĠA,"638,000"
Sunday,September,3,2017,y,n,n,n,n,BIRŻEBBUĠA,"230,000"
Sunday,September,3,2017,y,n,n,n,n,BIRŻEBBUĠA,"220,000"
Sunday,September,3,2017,n,n,y,n,n,BUĠIBBA,NaN
Sunday,September,3,2017,n,y,n,n,n,BUĠIBBA,"260,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"115,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"125,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"153,000"
Sunday,September,3,2017,n,n,n,n,n,BUĠIBBA,"210,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"254,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"190,000"
Sunday,September,3,2017,y,n,n,n,n,BUĠIBBA,"340,000"
Sunday,September,3,2017,n,n,n,n,n,BUĠIBBA,"320,000"
Sunday,September,3,2017,n,n,y,n,n,BUĠIBBA,"383,000"
Sunday,September,3,2017,n,n,y,n,n,BULEBEL,"339,000"
Sunday,September,3,2017,y,n,y,n,n,BURMARRAD,"185,000"
Sunday,September,3,2017,n,n,n,n,n,BURMARRAD,"255,000"
Sunday,September,3,2017,n,n,n,n,n,COSPICUA ,"163,000"
Sunday,September,3,2017,n,n,n,y,n,COSPICUA ,"475,000"
Sunday,September,3,2017,n,n,y,n,y,COSPICUA ,"570,000"
Sunday,September,3,2017,n,n,n,n,n,DINGLI,"38,200"
Sunday,September,3,2017,n,n,n,n,n,DINGLI,"161,000"
Sunday,September,3,2017,n,n,y,n,n,FGURA,"340,000"
Sunday,September,3,2017,y,n,n,n,n,FGURA,"150,000"
Sunday,September,3,2017,n,n,n,n,n,FGURA,"160,000"
Sunday,September,3,2017,n,y,n,n,n,FGURA,"187,000"
Sunday,September,3,2017,n,n,n,n,n,FGURA,"160,000"
Sunday,September,3,2017,n,n,n,n,n,FGURA,"385,000"
Sunday,September,3,2017,n,y,n,n,n,FGURA,"175,000"
Sunday,September,3,2017,y,n,n,n,n,FGURA,"110,000"
Sunday,September,3,2017,y,n,n,n,n,FGURA,"110,000"
Sunday,September,3,2017,n,n,y,n,n,FGURA,"297,000"
Sunday,September,3,2017,n,y,n,n,n,FGURA,"215,000"
Sunday,September,3,2017,n,y,n,n,n,FGURA,"175,000"
Sunday,September,3,2017,n,n,n,n,n,FLORIANA,"660,000"
Sunday,September,3,2017,n,n,n,n,n,NaN,"210,000"
Sunday,September,3,2017,n,n,n,n,n,GĦARGĦUR,"380,000"
Sunday,September,3,2017,y,n,n,n,n,GĦARGĦUR,"237,000"
Sunday,September,3,2017,n,n,n,n,n,GĦARGĦUR,"395,000"
Sunday,September,3,2017,n,n,n,n,y,GĦARGĦUR,"447,000"
Sunday,September,3,2017,n,y,y,n,n,GĦARGĦUR,"350,000"
Sunday,September,3,2017,n,y,n,n,n,GĦARGĦUR,NaN
Sunday,September,3,2017,n,n,n,n,n,GĦAXAQ,"430,000"
Sunday,September,3,2017,n,n,n,n,n,GĦAXAQ,"580,000"
Sunday,September,3,2017,n,n,n,n,n,GĦAXAQ,"135,000"
Sunday,September,3,2017,y,n,n,n,n,GĦAXAQ,"145,000"
Sunday,September,3,2017,n,n,n,n,y,GĦAXAQ,"255,000"
Sunday,September,3,2017,n,n,n,n,n,GĦAXAQ,"1,236"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"325,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,NaN
Sunday,September,3,2017,y,n,n,y,n,GOZO,NaN
Sunday,September,3,2017,n,n,y,n,n,GOZO,"22,000"
Sunday,September,3,2017,y,n,n,y,y,GOZO,"160,000"
Sunday,September,3,2017,n,n,y,y,n,GOZO,NaN
Sunday,September,3,2017,n,y,n,n,n,GOZO,"135,000"
Sunday,September,3,2017,n,y,n,y,n,GOZO,"148,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"135,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"117,000"
Sunday,September,3,2017,y,n,n,n,n,GOZO,"85,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"175,900"
Sunday,September,3,2017,y,n,y,n,n,GOZO,"124,700"
Sunday,September,3,2017,y,n,n,n,n,GOZO,"106,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"158,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"299,000"
Sunday,September,3,2017,n,n,n,y,n,GOZO,"300,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"220,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"119,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"110,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"365,000"
Sunday,September,3,2017,y,n,n,n,n,GOZO,"160,000"
Sunday,September,3,2017,n,n,y,y,n,GOZO,"310,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"300,000"
Sunday,September,3,2017,y,n,n,n,n,GOZO,"165,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,"175,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,NaN
Sunday,September,3,2017,n,n,n,n,n,GOZO,"175,000"
Sunday,September,3,2017,n,n,n,n,n,GOZO,NaN
Sunday,September,3,2017,y,n,n,n,n,GUARDAMANGIA,"185,000"
Sunday,September,3,2017,n,y,n,n,n,GUARDAMANGIA,"160,000"
Sunday,September,3,2017,y,n,n,n,n,GUARDAMANGIA,"145,000"
Sunday,September,3,2017,n,n,n,n,n,GUDJA,"260,000"
Sunday,September,3,2017,y,n,n,n,n,GUDJA,"225,000"
Sunday,September,3,2017,n,n,y,n,n,GUDJA,"532,000"
Sunday,September,3,2017,n,n,y,n,n,GUDJA,"410,000"
Sunday,September,3,2017,n,n,n,n,n,GŻIRA,"215,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"239,000"
Sunday,September,3,2017,n,n,y,n,n,GŻIRA,"39,500"
Sunday,September,3,2017,n,n,n,n,n,GŻIRA,"265,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"220,000"
Sunday,September,3,2017,n,n,n,n,n,GŻIRA,"235,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"126,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"145,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"185,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"180,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"190,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,NaN
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"265,000"
Sunday,September,3,2017,y,n,n,n,n,GŻIRA,"195,000"
Sunday,September,3,2017,y,n,n,n,n, SLIEMA,"305,000"
Sunday,September,3,2017,y,n,n,n,n,ĦAMRUN,"118,500"
Sunday,September,3,2017,n,y,n,n,n,ĦAMRUN,"99,000"
Sunday,September,3,2017,n,y,n,n,n,ĦAMRUN,"70,000"
Sunday,September,3,2017,n,n,n,y,n,ĦAMRUN,"191,000"
Sunday,September,3,2017,n,y,n,n,n,IKLIN,"255,000"
Sunday,September,3,2017,y,n,n,n,n,IKLIN,"185,000"
Sunday,September,3,2017,y,n,n,n,n,IKLIN,"175,000"
Sunday,September,3,2017,n,n,n,n,y,JUST OFF BALLUTA,NaN
Sunday,September,3,2017,y,n,n,n,n,KALKARA,"210,000"
Sunday,September,3,2017,y,n,n,n,n,KALKARA,"175,000"
Sunday,September,3,2017,n,y,n,n,n,KAPPARA,"240,000"
Sunday,September,3,2017,n,n,y,y,n,KAPPARA,"845,000"
Sunday,September,3,2017,y,n,n,n,n,LIJA,"265,000"
Sunday,September,3,2017,n,n,n,n,y,LIJA,NaN
Sunday,September,3,2017,n,n,y,n,y,LIJA,"715,000"
Sunday,September,3,2017,n,n,y,n,n,LIJA,"1,150"
Sunday,September,3,2017,n,n,n,n,n,LIJA,"239,000"
Sunday,September,3,2017,n,n,n,n,n,LIJA,"422,000"
Sunday,September,3,2017,n,n,n,y,y,LUQA,"385,000"
Sunday,September,3,2017,n,n,n,y,n,LUQA,"191,000"
Sunday,September,3,2017,y,n,y,n,n,LUQA,"125,000"
Sunday,September,3,2017,n,n,y,n,n,MADLIENA,NaN
Sunday,September,3,2017,n,n,y,y,n,MADLIENA,NaN
Sunday,September,3,2017,n,n,y,y,y,MADLIENA,"2,330"
Sunday,September,3,2017,y,n,n,n,n,MADLIENA,"298,000"
Sunday,September,3,2017,n,n,n,n,n,MADLIENA,"1,800"
Sunday,September,3,2017,n,y,n,y,n,MADLIENA,"620,000"
Sunday,September,3,2017,y,n,n,n,n,MANIKATA,"175,000"
Sunday,September,3,2017,y,n,y,n,n,MANIKATA,"255,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"160,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"166,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"270,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"140,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"180,000"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"200,000"
Sunday,September,3,2017,n,n,y,n,n,MARSASCALA,"550,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"475,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"215,000"
Sunday,September,3,2017,n,n,y,n,n,MARSASCALA,"187,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"195,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"270,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"149,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"160,000"
Sunday,September,3,2017,y,n,y,n,n,MARSASCALA,"190,000"
Sunday,September,3,2017,n,y,y,n,n,MARSASCALA,"270,000"
Sunday,September,3,2017,y,y,n,n,n,MARSASCALA,"110,000"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"260,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"375,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"220,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"180,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"112,000"
Sunday,September,3,2017,y,y,n,n,n,MARSASCALA,"110,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"350,000"
Sunday,September,3,2017,y,n,y,n,n,MARSASCALA,"240,000"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"250,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"329,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"140,000"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"220,000"
Sunday,September,3,2017,y,n,n,n,n,MARSASCALA,"155,000"
Sunday,September,3,2017,n,n,y,n,n,MARSASCALA,NaN
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"375,000"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"210,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"210,000"
Sunday,September,3,2017,y,y,n,n,n,MARSASCALA,"110,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"330,000"
Sunday,September,3,2017,n,n,n,n,n,MARSASCALA,"149,500"
Sunday,September,3,2017,n,y,n,n,n,MARSASCALA,"170,000"
Sunday,September,3,2017,n,n,y,y,n,MARSAXLOKK,"550,000"
Sunday,September,3,2017,n,n,n,n,n,MATURE OLIVE ORCHARD ,NaN
Sunday,September,3,2017,n,n,n,n,n,MDINA,"850,000"
Sunday,September,3,2017,n,n,n,n,n,MELLIEĦA,"180,000"
Sunday,September,3,2017,n,n,y,y,n,MELLIEĦA,"1,250"
Sunday,September,3,2017,n,n,n,n,n,MELLIEĦA,"870,000"
Sunday,September,3,2017,n,n,n,n,n,MELLIEĦA,"430,000"
Sunday,September,3,2017,n,y,y,n,n,MELLIEĦA,"310,000"
Sunday,September,3,2017,y,n,n,n,n,MELLIEĦA,"205,000"
Sunday,September,3,2017,n,y,y,n,n,MELLIEĦA,"340,000"
Sunday,September,3,2017,n,n,y,y,y,MELLIEĦA,"1,740"
