Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Tuesday,May,9,2017,y,n,n,n,n,LIJA,"199,000"
Tuesday,May,9,2017,y,n,n,n,n,TARXIEN,"105,000"
Tuesday,May,9,2017,y,n,n,n,n,ŻABBAR,"128,000"
Monday,May,8,2017,n,n,y,n,n,RABAT,"425,000"
Monday,May,8,2017,n,n,n,n,n,RABAT,"480,000"
Monday,May,8,2017,n,n,n,n,n,RABAT,"189,000"
Monday,May,8,2017,n,n,n,y,n,ŻEBBUĠ,"560,000"
Sunday,May,7,2017,n,n,n,n,n,NaN,NaN
Sunday,May,7,2017,n,n,n,n,n,ATTARD,"760,000"
Sunday,May,7,2017,n,n,y,n,n,ATTARD,"480,000"
Sunday,May,7,2017,n,n,y,n,n,ATTARD,"760,000"
Sunday,May,7,2017,n,n,y,y,n,ATTARD,NaN
Sunday,May,7,2017,y,n,n,n,n,ATTARD,"205,000"
Sunday,May,7,2017,n,n,n,n,n,ATTARD,"480,000"
Sunday,May,7,2017,n,n,n,n,n,ATTARD,"210,000"
Sunday,May,7,2017,n,n,n,n,n,ATTARD,"978,000"
Sunday,May,7,2017,n,y,n,n,n,ATTARD,"280,000"
Sunday,May,7,2017,n,y,n,n,n,ATTARD,"265,000"
Sunday,May,7,2017,y,n,y,n,n,ATTARD,"275,000"
Sunday,May,7,2017,y,n,n,n,n,ATTARD,"275,000"
Sunday,May,7,2017,n,n,y,n,n,ATTARD,"33,000"
Sunday,May,7,2017,n,y,y,n,n,ATTARD,"375,000"
Sunday,May,7,2017,n,n,y,n,y,ATTARD,"750,000"
Sunday,May,7,2017,y,n,y,n,n,ATTARD,"199,000"
Sunday,May,7,2017,n,y,n,n,n,ATTARD,"280,000"
Sunday,May,7,2017,n,y,y,n,n,ATTARD,"375,000"
Sunday,May,7,2017,n,n,y,n,n,ATTARD,"35,000"
Sunday,May,7,2017,n,y,n,n,n,NaN,NaN
Sunday,May,7,2017,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"210,000"
Sunday,May,7,2017,n,y,y,y,n,ĦAQ,NaN
Sunday,May,7,2017,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"290,000"
Sunday,May,7,2017,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"875,000"
Sunday,May,7,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,May,7,2017,y,n,y,n,n,BAĦRIJA,"200,000"
Sunday,May,7,2017,y,n,n,n,n,BALZAN,"199,000"
Sunday,May,7,2017,n,n,n,n,n,BALZAN,NaN
Sunday,May,7,2017,n,y,y,n,n,BALZAN,"298,000"
Sunday,May,7,2017,n,y,y,y,y,BALZAN,"585,000"
Sunday,May,7,2017,y,n,n,n,n,BALZAN,"190,000"
