Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,October,26,2015,n,n,n,n,n,NaN,NaN
Monday,October,26,2015,n,n,n,n,n,BIRKIRKARA,"78,000"
Monday,October,26,2015,y,n,y,n,n,GUARDAMANGIA,"340,000"
Monday,October,26,2015,n,y,y,n,n,LIJA,"199,000"
Monday,October,26,2015,y,n,n,n,n,MARSASCALA,"340,000"
Monday,October,26,2015,n,n,n,n,n,RABAT,"125,000"
Monday,October,26,2015,n,n,n,n,n,SLIEMA,"360,000"
Monday,October,26,2015,n,n,n,n,n,ŻABBAR,"440,000"
Sunday,October,25,2015,n,n,n,n,n,NaN,NaN
Sunday,October,25,2015,n,n,n,n,n,NaN,NaN
Sunday,October,25,2015,n,n,n,n,n,NaN,NaN
Sunday,October,25,2015,n,n,n,n,n,NaN,NaN
Sunday,October,25,2015,n,y,n,n,n,NaN,"138,000"
Sunday,October,25,2015,n,y,n,n,n,ATTARD,"140,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"210,000"
Sunday,October,25,2015,y,y,n,n,n,ATTARD,"213,000"
Sunday,October,25,2015,y,n,y,n,n,ATTARD,"198,000"
Sunday,October,25,2015,n,n,n,y,n,ATTARD,"570,000"
Sunday,October,25,2015,n,n,y,n,y,ATTARD,"950,000"
Sunday,October,25,2015,n,n,n,n,n,ATTARD,"309,000"
Sunday,October,25,2015,n,y,y,n,n,ATTARD,"220,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"235,000"
Sunday,October,25,2015,n,y,n,n,n,ATTARD,"235,000"
Sunday,October,25,2015,n,y,y,n,n,ATTARD,"210,000"
Sunday,October,25,2015,n,n,y,y,n,ATTARD,NaN
Sunday,October,25,2015,n,n,y,n,n,ATTARD,"38,000"
Sunday,October,25,2015,y,n,y,n,n,ATTARD,"211,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"169,000"
Sunday,October,25,2015,n,y,n,n,n,ATTARD,"128,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"155,000"
Sunday,October,25,2015,n,n,n,n,n,ATTARD,"320,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"175,000"
Sunday,October,25,2015,n,n,n,n,n,ATTARD,"193,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"167,000"
Sunday,October,25,2015,y,n,n,n,n,ATTARD,"141,000"
Sunday,October,25,2015,n,n,n,n,n,ATTARD,"250,000"
Sunday,October,25,2015,n,y,n,n,n,ATTARD,"128,150"
Sunday,October,25,2015,y,n,y,n,n,ATTARD,"230,000"
Sunday,October,25,2015,n,y,n,n,n,ATTARD,"148,000"
Sunday,October,25,2015,n,n,n,n,n,ATTARD,"350,000"
Sunday,October,25,2015,n,y,n,n,n,NaN,NaN
Sunday,October,25,2015,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"315,000"
Sunday,October,25,2015,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"22,000"
Sunday,October,25,2015,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"600,000"
Sunday,October,25,2015,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"650,000"
Sunday,October,25,2015,n,n,n,n,n,BALZAN,NaN
Sunday,October,25,2015,y,n,n,n,n,BALZAN,"150,000"
Sunday,October,25,2015,n,n,y,n,n,BALZAN,"155,000"
Sunday,October,25,2015,n,n,n,n,n,BALZAN,"565,000"
Sunday,October,25,2015,n,n,y,y,n,BALZAN,"480,000"
Sunday,October,25,2015,n,n,y,y,n,BALZAN,NaN
Sunday,October,25,2015,n,n,y,n,n,BALZAN,"350,000"
Sunday,October,25,2015,y,n,n,n,n,BALZAN,"175,000"
Sunday,October,25,2015,n,y,y,n,n,BALZAN,"79,000"
Sunday,October,25,2015,n,n,n,n,n,BALZAN,NaN
Sunday,October,25,2015,y,y,n,n,n,BALZAN,"127,000"
Sunday,October,25,2015,y,n,y,n,n,BALZAN,"175,000"
Sunday,October,25,2015,n,n,y,n,n,BALZAN,"168,000"
Sunday,October,25,2015,n,n,n,n,n,BALZAN,"160,000"
Sunday,October,25,2015,n,n,n,n,n,BIDNIJA,"1,600"
Sunday,October,25,2015,n,n,n,n,y,BINĠEMMA,"545,000"
Sunday,October,25,2015,n,n,n,n,n,BIRGUMA,"479,000"
Sunday,October,25,2015,n,n,n,y,n,BIRGUMA,"479,000"
Sunday,October,25,2015,n,n,n,y,n,BIRGUMA,NaN
Sunday,October,25,2015,n,n,n,y,n,BIRGUMA,"800,000"
Sunday,October,25,2015,n,n,n,n,n,BIRGUMA,NaN
