Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Thursday,January,25,2018,n,n,y,y,n,GOZO,"550,000"
Thursday,January,25,2018,n,n,n,n,n,QORMI,NaN
Thursday,January,25,2018,n,n,n,n,n,ST JULIANS,NaN
Wednesday,January,24,2018,y,n,n,n,n,ATTARD,NaN
Wednesday,January,24,2018,y,n,n,n,n,GOZO,"235,000"
Wednesday,January,24,2018,y,n,n,n,n,GOZO,"175,000"
Wednesday,January,24,2018,n,n,n,n,n,GUARDAMANGIA,NaN
Wednesday,January,24,2018,n,n,n,n,n,GUARDAMANGIA,NaN
Wednesday,January,24,2018,y,n,n,n,n,GŻIRA,"250,000"
Wednesday,January,24,2018,y,n,y,n,n,MARSASCALA,NaN
Wednesday,January,24,2018,y,n,n,n,n,MSIDA,"130,000"
Wednesday,January,24,2018,y,n,n,n,n,MSIDA,"130,000"
Wednesday,January,24,2018,y,n,n,n,n,QORMI,NaN
Wednesday,January,24,2018,y,n,n,n,n,SAN ĠWANN,"235,000"
Wednesday,January,24,2018,n,n,y,n,n,SLIEMA,"450,000"
Wednesday,January,24,2018,n,n,n,n,n,TA' QALI ,NaN
Tuesday,January,23,2018,y,n,y,n,n,GOZO,"98,000"
Tuesday,January,23,2018,n,n,n,n,n,QORMI,NaN
Monday,January,22,2018,n,n,n,n,n,BUĠIBBA,"153,000"
Monday,January,22,2018,y,n,n,n,n,GOZO,"110,000"
Monday,January,22,2018,y,n,n,n,n,ST JULIANS,"375,000"
Sunday,January,21,2018,n,n,n,n,n, ,NaN
Sunday,January,21,2018,n,n,n,n,n,ATTARD,"580,000"
Sunday,January,21,2018,n,y,n,n,n,ATTARD,NaN
Sunday,January,21,2018,n,y,y,n,n,ATTARD,"235,000"
Sunday,January,21,2018,n,y,n,n,n,ATTARD,"245,000"
Sunday,January,21,2018,n,y,n,n,n,ATTARD,"320,000"
Sunday,January,21,2018,n,n,n,n,n,ATTARD,"798,000"
Sunday,January,21,2018,n,n,n,n,n,ATTARD,NaN
Sunday,January,21,2018,n,n,n,y,n,ATTARD,"725,000"
Sunday,January,21,2018,n,n,n,n,n,ATTARD,NaN
Sunday,January,21,2018,n,n,n,n,n,ATTARD,"820,000"
Sunday,January,21,2018,y,n,n,n,n,ATTARD,NaN
Sunday,January,21,2018,n,n,n,y,n,ATTARD,"580,000"
Sunday,January,21,2018,n,n,y,n,n,ATTARD,"900,000"
Sunday,January,21,2018,n,n,y,n,n,BAĦAR IĊĊAGĦAQ,"350,000"
Sunday,January,21,2018,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"250,000"
Sunday,January,21,2018,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"235,000"
Sunday,January,21,2018,y,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"320,000"
Sunday,January,21,2018,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"230,000"
Sunday,January,21,2018,n,n,y,n,n,BAHRIJA,"210,000"
Sunday,January,21,2018,n,y,y,n,n,BAHRIJA,"245,000"
Sunday,January,21,2018,n,n,n,y,n,BALZAN,"535,000"
Sunday,January,21,2018,n,n,n,n,n,BALZAN,"170,000"
Sunday,January,21,2018,n,n,n,n,y,BALZAN,NaN
Sunday,January,21,2018,n,n,n,n,n,BALZAN,"855,000"
Sunday,January,21,2018,y,n,n,n,n,BALZAN,"256,000"
Sunday,January,21,2018,y,n,n,n,n,BALZAN,"160,000"
Sunday,January,21,2018,y,n,n,n,n,BALZAN,"175,000"
Sunday,January,21,2018,n,n,n,n,n,BALZAN,"245,000"
Sunday,January,21,2018,n,n,y,n,n,BALZAN,NaN
Sunday,January,21,2018,n,n,y,y,y,BIDNIJA,"1,285"
Sunday,January,21,2018,n,n,n,y,y,BIDNIJA,"760,000"
Sunday,January,21,2018,y,n,y,n,n,BIRGUMA,"385,000"
Sunday,January,21,2018,n,n,n,n,n,BIRKIRKARA,"150,000"
