Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Friday,November,10,2017,n,n,n,n,n,FGURA,"157,000"
Friday,November,10,2017,n,n,y,n,n,ST JULIANS,NaN
Friday,November,10,2017,n,y,y,n,n,TAL-IBRAĠ,NaN
Friday,November,10,2017,y,n,n,n,n,ŻABBAR,"130,000"
Thursday,November,9,2017,n,n,n,n,n,FGURA,"157,000"
Thursday,November,9,2017,n,n,n,y,n,GOZO,"830,000"
Thursday,November,9,2017,n,n,n,n,n,QAWRA,"210,000"
Thursday,November,9,2017,y,n,n,n,n,QORMI,"150,000"
Thursday,November,9,2017,n,n,n,n,n,SLIEMA,"495,000"
Thursday,November,9,2017,n,n,n,n,n,ST JULIANS,"350,000"
Wednesday,November,8,2017,y,n,y,n,n,ATTARD,"370,000"
Wednesday,November,8,2017,n,n,n,n,y,BALZAN,"565,000"
Wednesday,November,8,2017,n,n,n,n,n,FGURA,"157,000"
Wednesday,November,8,2017,y,n,n,n,n,GĦARGĦUR,"248,000"
Wednesday,November,8,2017,n,y,y,n,n,GĦARGĦUR,"325,000"
Wednesday,November,8,2017,n,n,n,n,n,GOZO,"385,000"
Wednesday,November,8,2017,n,n,y,y,n,GOZO,"245,000"
Wednesday,November,8,2017,n,n,n,n,n,MSIDA,"139,000"
Wednesday,November,8,2017,n,n,n,y,n,NAXXAR,"426,000"
Wednesday,November,8,2017,y,n,n,n,n,QAWRA,"178,000"
Wednesday,November,8,2017,n,n,y,y,n,RABAT,"1,350"
Wednesday,November,8,2017,y,n,y,n,n,SAN ĠWANN,"875,000"
Wednesday,November,8,2017,n,n,y,n,n,SLIEMA,"700,000"
Wednesday,November,8,2017,y,n,y,n,n,ST PAUL' S BAY,"520,000"
Wednesday,November,8,2017,n,y,y,n,n,SWIEQI,"490,000"
Wednesday,November,8,2017,y,n,n,n,n,TAL-IBRAĠ,"350,000"
Wednesday,November,8,2017,y,n,n,n,n,ŻABBAR,"130,000"
Tuesday,November,7,2017,n,n,n,n,n,FGURA,"157,000"
Tuesday,November,7,2017,n,n,n,y,n,GOZO,"830,000"
Tuesday,November,7,2017,y,n,n,n,n,QORMI,"150,000"
Tuesday,November,7,2017,n,n,y,n,n,ST JULIANS,NaN
Monday,November,6,2017,n,n,n,n,n,GŻIRA,NaN
Monday,November,6,2017,y,n,y,n,n,SLIEMA,"925,000"
Monday,November,6,2017,y,n,n,n,n,SLIEMA,"335,000"
Monday,November,6,2017,y,n,n,n,n, POINT,"575,000"
Monday,November,6,2017,y,n,y,n,n, POINT,"1,950"
