Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Wednesday,April,29,2015,n,n,n,y,y,ATTARD,"450,000"
Wednesday,April,29,2015,y,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"285,000"
Wednesday,April,29,2015,y,n,y,n,n,BALZAN,"238,000"
Wednesday,April,29,2015,y,n,y,n,n,BALZAN,"150,000"
Wednesday,April,29,2015,n,n,n,n,y,BIRKIRKARA,"315,000"
Wednesday,April,29,2015,n,n,n,n,n,BIRKIRKARA,"90,000"
Wednesday,April,29,2015,n,n,n,n,n,BIRKIRKARA,"97,000"
Wednesday,April,29,2015,y,n,n,n,n,BIRKIRKARA,"150,000"
Wednesday,April,29,2015,n,n,n,n,n,BIRKIRKARA,"108,000"
Wednesday,April,29,2015,n,n,n,n,n,BUĠIBBA,"185,000"
Wednesday,April,29,2015,n,n,n,n,y,COSPICUA,"275,000"
Wednesday,April,29,2015,n,n,n,n,y,COSPICUA,"275,000"
Wednesday,April,29,2015,y,n,n,n,n,FGURA,NaN
Wednesday,April,29,2015,y,n,n,n,n,GOZO,"99,000"
Wednesday,April,29,2015,n,n,y,y,n,GOZO,"345,000"
Wednesday,April,29,2015,y,n,y,n,n,GŻIRA,"185,000"
Wednesday,April,29,2015,n,n,y,n,n,GŻIRA,"205,000"
Wednesday,April,29,2015,n,y,n,n,y,GŻIRA,"127,500"
Wednesday,April,29,2015,y,n,n,n,n,NaN,"97,000"
Wednesday,April,29,2015,n,n,y,n,n,MARSASCALA,"146,000"
Wednesday,April,29,2015,y,n,n,n,n,NaN,NaN
Wednesday,April,29,2015,y,n,n,n,n,MELLIEĦA,"145,000"
Wednesday,April,29,2015,n,y,n,n,n,MĠARR,"155,000"
Wednesday,April,29,2015,n,n,n,n,n,MOSTA,"210,000"
Wednesday,April,29,2015,n,n,n,n,n,MSIDA,"88,000"
Wednesday,April,29,2015,n,y,y,n,n,MSIDA,"287,000"
Wednesday,April,29,2015,y,y,n,n,n,SAN PAWL TAT-TARĠA,"219,000"
Wednesday,April,29,2015,y,n,n,n,n,SENGLEA ,"365,000"
Wednesday,April,29,2015,n,y,n,n,n,SIĠĠIEWI,NaN
Wednesday,April,29,2015,y,n,y,n,n,SLIEMA,"550,000"
Wednesday,April,29,2015,y,n,n,n,n,SLIEMA,"459,000"
Wednesday,April,29,2015,y,n,n,n,n,SLIEMA,"220,000"
Wednesday,April,29,2015,y,n,n,n,n,SLIEMA,"220,000"
Wednesday,April,29,2015,n,n,n,n,n,SLIEMA,"360,000"
