Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Tuesday,January,31,2017,n,n,y,n,n,PIETÀ,"27,000"
Monday,January,30,2017,y,n,n,n,n,GOZO,"120,000"
Monday,January,30,2017,n,n,n,y,n,KIRKOP,"630,000"
Monday,January,30,2017,n,n,y,n,n,PIETÀ,"27,000"
Monday,January,30,2017,y,n,y,n,n,TAL-IBRAĠ,"595,000"
Sunday,January,29,2017,n,n,n,n,n,NaN,NaN
Sunday,January,29,2017,y,n,n,n,n,ATTARD,"234,000"
Sunday,January,29,2017,n,y,y,n,n,ATTARD,"265,000"
Sunday,January,29,2017,n,y,y,n,n,ATTARD,"265,000"
Sunday,January,29,2017,y,n,n,n,n,ATTARD,"120,000"
Sunday,January,29,2017,n,n,y,n,n,ATTARD,"495,000"
Sunday,January,29,2017,n,n,n,y,n,ATTARD,"900,000"
Sunday,January,29,2017,n,n,n,n,n,ATTARD,"300,000"
Sunday,January,29,2017,n,y,n,n,n,ATTARD,"185,000"
Sunday,January,29,2017,n,y,y,n,n,ATTARD,"265,000"
Sunday,January,29,2017,n,n,y,n,n,ATTARD,"375,000"
Sunday,January,29,2017,n,y,y,n,n,ATTARD,"380,000"
Sunday,January,29,2017,n,n,y,n,y,ATTARD,"455,000"
Sunday,January,29,2017,y,n,n,n,n,ATTARD,"235,000"
Sunday,January,29,2017,y,n,y,n,n,ATTARD,"295,000"
Sunday,January,29,2017,n,y,n,n,n,NaN,NaN
Sunday,January,29,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"650,000"
Sunday,January,29,2017,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"325,000"
Sunday,January,29,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"650,000"
Sunday,January,29,2017,y,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"185,000"
Sunday,January,29,2017,n,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"255,000"
Sunday,January,29,2017,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"265,000"
Sunday,January,29,2017,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"250,000"
Sunday,January,29,2017,y,n,y,n,n,BAĦRIJA,"249,000"
Sunday,January,29,2017,n,n,y,n,n,BAĦRIJA,"220,000"
Sunday,January,29,2017,n,n,n,n,n,BALZAN,"750,000"
