Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,October,2,2017,n,n,y,y,n,RABAT,"1,350"
Monday,October,2,2017,n,y,n,n,n,SLIEMA,"380,000"
Monday,October,2,2017,y,n,y,n,n,SLIEMA,"550,000"
Monday,October,2,2017,y,n,n,n,n,ST JULIANS,"260,000"
Monday,October,2,2017,y,n,y,n,n, POINT,NaN
Monday,October,2,2017,n,n,n,n,n,NaN,NaN
Sunday,October,1,2017,n,n,n,n,n,NaN,NaN
Sunday,October,1,2017,n,n,n,n,n,ATTARD,NaN
Sunday,October,1,2017,n,y,y,n,n,ATTARD,"245,000"
Sunday,October,1,2017,n,y,n,n,n,ATTARD,"280,000"
Sunday,October,1,2017,n,y,y,n,n,ATTARD,"340,000"
Sunday,October,1,2017,y,n,y,n,n,ATTARD,"275,000"
Sunday,October,1,2017,n,n,n,y,y,ATTARD,"1,276"
Sunday,October,1,2017,n,n,y,n,n,ATTARD,NaN
Sunday,October,1,2017,n,n,n,n,n,ATTARD,"795,000"
Sunday,October,1,2017,y,n,y,n,n,ATTARD,"275,000"
Sunday,October,1,2017,n,n,n,n,n,ATTARD,"820,000"
Sunday,October,1,2017,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"875,000"
Sunday,October,1,2017,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"140,000"
Sunday,October,1,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"235,000"
Sunday,October,1,2017,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,October,1,2017,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,October,1,2017,n,n,n,y,n,BAĦAR IĊ-ĊAGĦAQ,"875,000"
Sunday,October,1,2017,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,October,1,2017,n,n,y,n,n,BAĦRIJA,"320,000"
Sunday,October,1,2017,y,n,y,n,n,BAĦRIJA,"190,000"
Sunday,October,1,2017,n,n,n,n,y,BALZAN,"565,000"
Sunday,October,1,2017,n,n,n,n,n,BALZAN,"750,000"
Sunday,October,1,2017,y,n,y,n,n,BALZAN,"300,000"
Sunday,October,1,2017,y,n,n,n,n,BALZAN,"265,000"
Sunday,October,1,2017,y,n,n,n,n,BALZAN,"130,000"
Sunday,October,1,2017,n,n,n,n,n,BALZAN,"195,000"
Sunday,October,1,2017,n,y,n,n,n,BALZAN,"250,000"
Sunday,October,1,2017,y,n,n,n,n,BALZAN,"210,000"
Sunday,October,1,2017,y,n,n,n,n,BALZAN,"180,000"
Sunday,October,1,2017,n,n,n,n,n,BIDNIJA,NaN
Sunday,October,1,2017,n,n,y,y,n,BIRGUMA,"1,060"
Sunday,October,1,2017,n,n,n,y,n,BIRGUMA,NaN
Sunday,October,1,2017,y,n,n,n,n,BIRGUMA,"270,000"
Sunday,October,1,2017,n,n,y,n,n,BIRKIRKARA,"430,000"
Sunday,October,1,2017,n,n,y,n,n,BIRKIRKARA,NaN
Sunday,October,1,2017,n,n,n,n,n,BIRKIRKARA,"275,000"
Sunday,October,1,2017,n,n,n,n,n,BIRKIRKARA,"145,000"
Sunday,October,1,2017,n,n,y,n,y,BIRKIRKARA,"640,000"
Sunday,October,1,2017,n,n,n,n,n,BIRKIRKARA,NaN
Sunday,October,1,2017,n,n,n,n,n,BIRKIRKARA,"195,000"
Sunday,October,1,2017,n,n,n,y,n,BIRKIRKARA,"595,000"
Sunday,October,1,2017,n,n,y,n,n,BIRŻEBBUĠA,"250,000"
Sunday,October,1,2017,y,n,n,n,n,BIRŻEBBUĠA,"116,600"
Sunday,October,1,2017,y,n,n,n,n,BIRŻEBBUĠA,"108,500"
Sunday,October,1,2017,y,n,n,n,n,BIRŻEBBUĠA,"230,000"
Sunday,October,1,2017,y,n,n,n,n,BIRŻEBBUĠA,"165,000"
Sunday,October,1,2017,n,n,n,n,n,BUĠIBBA,"135,000"
Sunday,October,1,2017,n,y,n,n,n,BUĠIBBA,"260,000"
Sunday,October,1,2017,n,n,y,n,n,BUĠIBBA,NaN
Sunday,October,1,2017,y,n,n,n,n,BUĠIBBA,"129,500"
Sunday,October,1,2017,n,n,n,n,n,BUĠIBBA,"210,000"
Sunday,October,1,2017,n,y,y,n,n,BUĠIBBA,"175,000"
Sunday,October,1,2017,y,n,y,n,n,BUĠIBBA,"190,000"
Sunday,October,1,2017,y,n,n,n,n,BUĠIBBA,"170,000"
Sunday,October,1,2017,y,n,y,n,n,BUĠIBBA,"167,000"
Sunday,October,1,2017,y,n,n,n,n,BUĠIBBA,NaN
Sunday,October,1,2017,y,n,n,n,n,BUĠIBBA,"115,000"
Sunday,October,1,2017,n,n,n,n,n,BURMARRAD,"255,000"
Sunday,October,1,2017,y,n,n,n,n,CENTRAL,NaN
Sunday,October,1,2017,n,n,n,n,n,COSPICUA ,"180,000"
Sunday,October,1,2017,n,n,n,n,n,COSPICUA ,"499,000"
