Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,February,15,2016,n,n,n,n,n,FLORIANA,"455,000"
Monday,February,15,2016,y,n,n,n,n,ĦAMRUN,"99,000"
Sunday,February,14,2016,n,y,n,n,n, CLAYTON CAMILLERI,NaN
Sunday,February,14,2016,n,n,n,n,n,NaN,NaN
Sunday,February,14,2016,n,n,n,n,n,NaN,NaN
Sunday,February,14,2016,n,n,n,n,n,A BARGAIN INVESTMENT,"425,000"
Sunday,February,14,2016,n,y,y,n,n,ATTARD,"234,000"
Sunday,February,14,2016,n,n,y,n,n,ATTARD,"840,000"
Sunday,February,14,2016,n,n,y,y,n,ATTARD,NaN
Sunday,February,14,2016,n,n,n,n,n,ATTARD,"155,000"
Sunday,February,14,2016,n,y,y,n,n,ATTARD,"363,500"
Sunday,February,14,2016,n,y,y,n,n,ATTARD,"275,000"
Sunday,February,14,2016,n,n,n,n,n,ATTARD,"260,000"
Sunday,February,14,2016,y,n,n,n,n,ATTARD,"167,000"
Sunday,February,14,2016,y,n,n,n,n,ATTARD,"175,000"
Sunday,February,14,2016,n,n,n,n,n,ATTARD,NaN
Sunday,February,14,2016,n,n,n,n,n,ATTARD,"499,000"
Sunday,February,14,2016,y,n,n,n,n,ATTARD,"188,500"
Sunday,February,14,2016,n,y,n,n,n,NaN,NaN
Sunday,February,14,2016,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"900,000"
Sunday,February,14,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"139,000"
Sunday,February,14,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,February,14,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"139,000"
Sunday,February,14,2016,n,n,n,n,n,BAĦRIJA,"425,000"
Sunday,February,14,2016,y,n,n,n,n,BAĦRIJA,"160,000"
Sunday,February,14,2016,n,n,y,n,n,BAĦRIJA,"125,000"
Sunday,February,14,2016,y,n,n,n,n,BAĦRIJA,"215,000"
Sunday,February,14,2016,y,n,n,n,n,BALZAN,"100,000"
Sunday,February,14,2016,n,n,n,n,y,BALZAN,"370,000"
Sunday,February,14,2016,n,n,y,n,n,BALZAN,"50,000"
Sunday,February,14,2016,y,n,n,n,n,BALZAN,"130,000"
Sunday,February,14,2016,n,n,n,n,n,BALZAN,NaN
Sunday,February,14,2016,y,n,y,n,n,BALZAN,"196,600"
Sunday,February,14,2016,n,n,n,n,n,BALZAN,"185,000"
Sunday,February,14,2016,n,n,y,n,n,BALZAN,"350,000"
Sunday,February,14,2016,y,n,y,n,n,BALZAN,"165,000"
Sunday,February,14,2016,n,n,y,n,y,BALZAN,"365,000"
Sunday,February,14,2016,y,n,n,n,n,BALZAN,NaN
Sunday,February,14,2016,n,n,y,y,n,BIDNIJA,NaN
Sunday,February,14,2016,n,n,y,y,n,BIRGUMA,"720,000"
Sunday,February,14,2016,n,n,n,n,n,BIRGUMA,NaN
Sunday,February,14,2016,n,n,n,n,n,BIRGUMA,"850,000"
Sunday,February,14,2016,n,y,n,n,n,BIRGUMA,"266,000"
Sunday,February,14,2016,n,n,n,n,n,BIRGUMA,NaN
Sunday,February,14,2016,n,n,n,n,n,BIRGUMA,"720,000"
Sunday,February,14,2016,n,n,y,y,n,BIRGUMA,"750,000"
Sunday,February,14,2016,n,y,y,n,n,BIRKIRKARA,"290,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"170,500"
Sunday,February,14,2016,n,n,y,n,n,BIRKIRKARA,"372,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"170,000"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"159,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"138,000"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"126,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"165,000"
Sunday,February,14,2016,n,n,y,n,y,BIRKIRKARA,"330,000"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"117,500"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"138,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"194,000"
Sunday,February,14,2016,n,y,n,n,n,BIRKIRKARA,"177,000"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"160,000"
Sunday,February,14,2016,y,n,n,n,n,BIRKIRKARA,"138,000"
Sunday,February,14,2016,n,n,n,n,n,BIRKIRKARA,"180,000"
Sunday,February,14,2016,n,n,n,n,n,BIRŻEBBUĠA,"167,000"
Sunday,February,14,2016,n,n,n,n,n,BIRŻEBBUĠA,"195,000"
Sunday,February,14,2016,y,n,n,n,n,BIRŻEBBUĠA,"93,500"
Sunday,February,14,2016,n,n,y,n,n,BIRŻEBBUĠA,"355,000"
Sunday,February,14,2016,n,n,y,y,y,BIRŻEBBUĠA,"378,000"
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,NaN
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,"85,000"
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,"90,000"
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,"100,000"
Sunday,February,14,2016,n,n,n,n,n,BUĠIBBA,"325,000"
Sunday,February,14,2016,y,n,n,y,n,BUĠIBBA,"120,000"
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,NaN
Sunday,February,14,2016,y,n,n,n,n,BUĠIBBA,"77,000"
Sunday,February,14,2016,n,n,y,n,n,BUĠIBBA,"362,000"
Sunday,February,14,2016,n,n,n,n,n,BURMARRAD,"85,000"
Sunday,February,14,2016,n,n,n,n,n,BUSKETT,"950,000"
Sunday,February,14,2016,n,n,n,n,n,BUSKETT,"950,000"
Sunday,February,14,2016,y,n,n,n,n,COSPICUA ,"66,000"
Sunday,February,14,2016,n,n,n,n,n,COSPICUA ,"100,000"
Sunday,February,14,2016,y,n,n,n,n,COSPICUA ,"165,000"
Sunday,February,14,2016,n,n,n,n,n,COSPICUA ,"150,000"
Sunday,February,14,2016,n,n,n,n,n,COSPICUA ,"485,000"
Sunday,February,14,2016,n,n,n,n,n,COSPICUA ,"105,000"
Sunday,February,14,2016,n,n,n,n,n,COSPICUA ,"130,000"
Sunday,February,14,2016,n,n,n,y,y,DINGLI,"1,200"
Sunday,February,14,2016,n,y,n,n,n,FGURA,"175,000"
Sunday,February,14,2016,n,n,n,n,n,FGURA,"99,000"
Sunday,February,14,2016,n,n,n,n,n,FGURA,"160,000"
Sunday,February,14,2016,y,n,n,n,n,FGURA,NaN
Sunday,February,14,2016,y,n,n,n,n,FGURA,"117,000"
Sunday,February,14,2016,y,n,n,n,n,FGURA,"80,000"
Sunday,February,14,2016,n,n,n,n,n, TARXIEN,"110,000"
Sunday,February,14,2016,n,y,y,n,n,FLEUR-DE-LYS,"212,600"
Sunday,February,14,2016,y,n,n,n,n,FLORIANA,"139,000"
Sunday,February,14,2016,n,y,n,n,n,FLORIANA,"65,000"
Sunday,February,14,2016,n,n,n,n,n,FORT CAMBRIDGE,"1,400"
Sunday,February,14,2016,y,y,n,n,n,GĦARGĦUR,NaN
Sunday,February,14,2016,n,y,y,n,n,GĦARGĦUR,"295,000"
Sunday,February,14,2016,n,n,n,n,n,GĦARGĦUR,"595,000"
Sunday,February,14,2016,n,n,n,n,n,GĦARGĦUR,"280,000"
Sunday,February,14,2016,y,n,n,n,n,GĦARGĦUR,"233,000"
Sunday,February,14,2016,y,n,n,n,n,GĦARGĦUR,"159,000"
Sunday,February,14,2016,n,y,n,n,n,GĦARGĦUR,"138,000"
Sunday,February,14,2016,n,n,y,n,n,GĦARGĦUR,"347,000"
Sunday,February,14,2016,y,y,n,n,n,GĦARGĦUR,"165,000"
Sunday,February,14,2016,n,n,n,n,n,GĦARGĦUR,"270,000"
Sunday,February,14,2016,y,n,n,n,n,GĦAXAQ,"118,000"
Sunday,February,14,2016,n,n,n,n,n,GOLDEN SANDS,"650,000"
Sunday,February,14,2016,n,n,n,n,n,GOZO,"180,000"
