Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Friday,February,17,2017,n,n,n,n,n,NaN,NaN
Friday,February,17,2017,n,n,n,n,n,NaN,NaN
Friday,February,17,2017,n,n,n,n,n,ĦAXAQ,NaN
Friday,February,17,2017,y,n,n,n,n,GOZO,"255,000"
Friday,February,17,2017,n,n,y,y,n,GOZO,"245,000"
Friday,February,17,2017,y,n,n,n,n,MARSASCALA,NaN
Friday,February,17,2017,y,n,y,y,n,MELLIEHA,NaN
Friday,February,17,2017,n,n,n,n,n,ST JULIANS,"215,000"
Friday,February,17,2017,n,y,n,n,n,TAL-IBRAĠ,"320,000"
Thursday,February,16,2017,n,n,n,n,n,NaN,NaN
Thursday,February,16,2017,n,n,n,n,n,NaN,NaN
Thursday,February,16,2017,n,n,n,n,n,ĦAXAQ,"198,500"
Thursday,February,16,2017,y,n,n,n,n,IRA,"150,000"
Thursday,February,16,2017,y,n,n,n,n,MARSASCALA,NaN
Thursday,February,16,2017,y,n,y,y,n,MELLIEHA,NaN
Thursday,February,16,2017,y,n,n,n,n,NaN,"875,000"
Thursday,February,16,2017,y,n,n,n,n,SAN PAWL TAT-TARĠA,"285,000"
Wednesday,February,15,2017,n,n,n,n,n,NaN,NaN
Wednesday,February,15,2017,n,n,n,n,n,NaN,NaN
Wednesday,February,15,2017,n,n,n,n,n,GĦARGĦUR,"425,000"
Wednesday,February,15,2017,y,n,n,n,n,GĦARGĦUR,"197,000"
Wednesday,February,15,2017,y,n,n,n,n,GĦARGĦUR,"180,000"
Wednesday,February,15,2017,n,n,n,n,n,ĦAXAQ,NaN
Wednesday,February,15,2017,n,n,n,n,n,GOZO,"220,000"
Wednesday,February,15,2017,n,n,n,n,n,GOZO,"260,000"
Wednesday,February,15,2017,y,n,n,n,n,GŻIRA,"190,000"
Wednesday,February,15,2017,y,n,n,n,n,GŻIRA,"165,000"
Wednesday,February,15,2017,n,n,n,n,n,IKLIN,NaN
Wednesday,February,15,2017,y,n,n,y,n,MANIKATA,"650,000"
Wednesday,February,15,2017,y,n,n,n,n,MARSASCALA,NaN
Wednesday,February,15,2017,n,n,y,y,n,NAXXAR,"790,000"
Wednesday,February,15,2017,y,n,n,n,n,SLIEMA,"180,000"
Wednesday,February,15,2017,n,n,n,n,n,ST JULIANS,"215,000"
Wednesday,February,15,2017,y,n,n,n,n,ST JULIANS,"675,000"
Tuesday,February,14,2017,n,n,n,n,n,NaN,NaN
Tuesday,February,14,2017,n,n,n,n,n,NaN,NaN
Tuesday,February,14,2017,n,n,n,n,n,ĦAXAQ,NaN
Tuesday,February,14,2017,y,n,n,n,n,MARSASCALA,NaN
Tuesday,February,14,2017,n,n,n,n,n,MARSAXLOKK,NaN
Tuesday,February,14,2017,y,n,n,n,n,PENDER GARDENS,"875,000"
Tuesday,February,14,2017,y,n,n,n,n,SAN PAWL TAT-TARĠA,"285,000"
Monday,February,13,2017,n,n,n,n,n,NaN,NaN
Monday,February,13,2017,n,n,n,n,n,FARMHOUSE SENSARA,NaN
Monday,February,13,2017,y,n,n,n,n,SLIEMA,"195,000"
Sunday,February,12,2017,n,n,n,n,n,NaN,NaN
Sunday,February,12,2017,n,n,n,n,n,NaN,NaN
Sunday,February,12,2017,y,n,n,y,n,ATTARD,"270,000"
Sunday,February,12,2017,n,n,y,n,y,ATTARD,NaN
Sunday,February,12,2017,n,y,y,n,n,ATTARD,"265,000"
Sunday,February,12,2017,n,n,n,n,n,ATTARD,"160,000"
Sunday,February,12,2017,n,n,y,n,n,ATTARD,"380,000"
Sunday,February,12,2017,n,y,y,n,n,ATTARD,"265,000"
Sunday,February,12,2017,n,y,y,n,n,ATTARD,"287,000"
Sunday,February,12,2017,n,y,n,n,n,ATTARD,"265,000"
Sunday,February,12,2017,n,n,y,n,n,ATTARD,"287,000"
Sunday,February,12,2017,n,n,n,n,n,ATTARD,"240,000"
Sunday,February,12,2017,y,n,n,n,n,ATTARD,"225,000"
Sunday,February,12,2017,n,n,n,n,n,ATTARD,"245,000"
Sunday,February,12,2017,n,n,n,n,n,ATTARD,"180,000"
Sunday,February,12,2017,n,n,n,n,n,ATTARD,"320,000"
Sunday,February,12,2017,y,n,n,n,n,ATTARD,"120,000"
Sunday,February,12,2017,n,n,y,n,y,ATTARD,"545,000"
Sunday,February,12,2017,n,y,n,n,n,NaN,NaN
