Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Wednesday,October,25,2017,n,y,n,n,n,ATTARD,NaN
Wednesday,October,25,2017,n,n,n,n,n,BALZAN,"1,600"
Wednesday,October,25,2017,n,n,n,y,n,COSPICUA ,"650,000"
Wednesday,October,25,2017,n,n,n,n,n,FGURA,"157,000"
Wednesday,October,25,2017,n,n,y,y,n,GOZO,"360,000"
Wednesday,October,25,2017,y,n,n,n,n,GOZO,"235,000"
Wednesday,October,25,2017,n,n,y,y,n,KAPPARA,"795,000"
Wednesday,October,25,2017,y,n,y,n,n,MELLIEĦA,"280,000"
Wednesday,October,25,2017,n,y,y,n,n,MELLIEĦA,"382,000"
Wednesday,October,25,2017,n,n,y,n,n,MOSTA,"749,000"
Wednesday,October,25,2017,y,n,n,n,n,PENDERGARDENS,"495,000"
Wednesday,October,25,2017,y,n,n,n,n,PIETÀ,"146,500"
Wednesday,October,25,2017,y,n,n,n,n,QAWRA,"178,000"
Wednesday,October,25,2017,n,n,n,n,n,QRENDI,"125,000"
Wednesday,October,25,2017,n,n,n,n,n,SAN ĠWANN,"480,000"
Wednesday,October,25,2017,n,n,n,n,n,SLIEMA,"500,000"
Wednesday,October,25,2017,n,n,n,n,n,SLIEMA,"325,000"
Wednesday,October,25,2017,n,n,n,n,n,ST JULIANS,"350,000"
Wednesday,October,25,2017,y,n,y,n,n,SWIEQI,"395,000"
Wednesday,October,25,2017,n,y,y,n,n,SWIEQI,"490,000"
Wednesday,October,25,2017,y,n,n,n,n,TAL-IBRAĠ,"285,000"
Wednesday,October,25,2017,y,n,n,n,n,TAL-IBRAĠ,"395,000"
Wednesday,October,25,2017,y,n,n,n,n, POINT,"660,000"
Wednesday,October,25,2017,y,n,n,n,n,ŻABBAR,"130,000"
Wednesday,October,25,2017,n,n,n,y,y,ŻEBBUĠ,"675,000"
Wednesday,October,25,2017,n,n,n,n,n,ŻEJTUN,"299,000"
Tuesday,October,24,2017,n,n,n,n,n,FGURA,NaN
Tuesday,October,24,2017,y,n,n,n,n,MARSASCALA,"185,000"
Tuesday,October,24,2017,y,n,n,n,n,SLIEMA,"350,000"
Tuesday,October,24,2017,n,n,n,n,n,SLIEMA,"500,000"
Tuesday,October,24,2017,n,n,y,n,n,ST JULIANS,NaN
Tuesday,October,24,2017,y,n,y,n,n, POINT,NaN
Tuesday,October,24,2017,y,n,n,n,n, POINT,"660,000"
Monday,October,23,2017,n,n,n,n,n,GŻIRA,NaN
Monday,October,23,2017,n,n,n,n,n,SLIEMA,"500,000"
