Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Sunday,October,9,2016,n,n,n,n,n,NaN,NaN
Sunday,October,9,2016,n,n,n,n,n,NaN,NaN
Sunday,October,9,2016,n,n,y,y,n,ATTARD,"595,000"
Sunday,October,9,2016,n,n,n,n,n,ATTARD,"550,000"
Sunday,October,9,2016,n,y,y,n,n,ATTARD,"240,000"
Sunday,October,9,2016,n,y,n,n,n,ATTARD,"260,000"
Sunday,October,9,2016,n,n,y,n,n,ATTARD,"250,000"
Sunday,October,9,2016,n,n,n,y,y,ATTARD,NaN
Sunday,October,9,2016,n,y,y,n,n,ATTARD,"350,000"
Sunday,October,9,2016,y,n,n,n,n,ATTARD,"210,000"
Sunday,October,9,2016,n,y,y,n,n,ATTARD,"300,000"
Sunday,October,9,2016,y,n,y,n,n,ATTARD,"234,000"
Sunday,October,9,2016,n,y,y,n,n,ATTARD,"320,000"
Sunday,October,9,2016,n,n,n,n,n,ATTARD,"16,000"
Sunday,October,9,2016,n,y,n,n,n,ATTARD,"239,000"
Sunday,October,9,2016,n,n,n,n,n,ATTARD,"320,000"
Sunday,October,9,2016,n,n,n,n,n,ATTARD,NaN
Sunday,October,9,2016,y,n,n,n,n,ATTARD,"230,000"
Sunday,October,9,2016,n,n,y,n,n,ATTARD,"299,000"
Sunday,October,9,2016,n,n,y,n,n,ATTARD,"480,000"
Sunday,October,9,2016,n,n,y,n,n,ATTARD,"465,000"
Sunday,October,9,2016,n,n,n,n,y,ATTARD,"350,000"
Sunday,October,9,2016,n,y,n,n,n,ATTARD,"265,000"
Sunday,October,9,2016,n,y,n,n,n,NaN,NaN
Sunday,October,9,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"230,000"
Sunday,October,9,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGHAQ,"315,000"
Sunday,October,9,2016,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"240,000"
Sunday,October,9,2016,y,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"265,000"
Sunday,October,9,2016,y,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"265,000"
Sunday,October,9,2016,n,n,y,n,n,BAĦAR IĊ-ĊAGHAQ,"410,000"
Sunday,October,9,2016,n,n,n,n,n,BAĦRIJA,"185,000"
Sunday,October,9,2016,n,n,y,n,n,BAĦRIJA,"220,000"
Sunday,October,9,2016,n,n,y,y,n,BALZAN,NaN
Sunday,October,9,2016,y,n,n,n,n,BALZAN,"320,000"
Sunday,October,9,2016,n,y,n,n,n,BALZAN,"235,000"
Sunday,October,9,2016,y,n,y,n,n,BALZAN,"205,000"
Sunday,October,9,2016,n,n,y,y,n,BALZAN,"850,000"
Sunday,October,9,2016,n,n,n,y,n,BALZAN,"900,000"
Sunday,October,9,2016,n,n,n,n,n,BALZAN,NaN
Sunday,October,9,2016,y,n,n,n,n,BALZAN,"200,000"
Sunday,October,9,2016,n,n,n,n,n,BALZAN,"340,000"
Sunday,October,9,2016,n,n,y,y,y,BIRGUMA,"1,100"
Sunday,October,9,2016,n,y,y,n,n,BIRKIRKARA,"235,000"
Sunday,October,9,2016,n,y,n,n,n,BIRKIRKARA,"231,000"
Sunday,October,9,2016,y,n,n,n,n,BIRKIRKARA,"129,500"
Sunday,October,9,2016,y,n,n,n,n,BIRKIRKARA,"139,500"
Sunday,October,9,2016,y,n,n,n,n,BIRKIRKARA,"135,000"
Sunday,October,9,2016,y,n,n,n,n,BIRKIRKARA,"215,000"
Sunday,October,9,2016,n,n,n,y,n,BIRKIRKARA,"230,000"
Sunday,October,9,2016,n,n,n,n,y,BIRKIRKARA,"495,000"
Sunday,October,9,2016,n,n,n,n,n,BIRKIRKARA,"130,000"
Sunday,October,9,2016,n,n,n,n,n,BIRKIRKARA,"190,000"
Sunday,October,9,2016,n,n,n,n,y,BIRKIRKARA,"240,000"
Sunday,October,9,2016,n,n,y,n,n,BIRŻEBBUĠA,"230,000"
Sunday,October,9,2016,y,n,n,n,n,BIRŻEBBUĠA,"145,000"
Sunday,October,9,2016,y,n,n,n,n,BUĠIBBA,"88,000"
Sunday,October,9,2016,y,n,n,n,n,BUĠIBBA,"265,000"
Sunday,October,9,2016,n,n,n,n,n,BUĠIBBA,"399,000"
Sunday,October,9,2016,y,n,n,n,n,BUĠIBBA,"86,000"
Sunday,October,9,2016,y,n,n,n,n,BUĠIBBA,"99,000"
Sunday,October,9,2016,n,n,n,n,n,BUĠIBBA,"390,000"
Sunday,October,9,2016,y,n,n,n,n,BUĠIBBA,"122,000"
Sunday,October,9,2016,n,n,n,n,n,BURMARRAD,"200,000"
Sunday,October,9,2016,n,n,n,y,n,BUSKETT,"875,000"
Sunday,October,9,2016,n,n,n,n,n,COSPICUA ,"210,000"
Sunday,October,9,2016,n,n,n,n,n,COSPICUA ,"210,000"
Sunday,October,9,2016,n,n,n,n,n,COSPICUA,"210,000"
Sunday,October,9,2016,n,n,y,n,n,DINGLI,"23,000"
Sunday,October,9,2016,n,n,n,n,n,DINGLI,"136,500"
Sunday,October,9,2016,y,n,n,n,n,DINGLI,"100,000"
Sunday,October,9,2016,n,n,n,n,n,DINGLI,"355,000"
Sunday,October,9,2016,n,n,n,n,n,FGURA,"330,000"
Sunday,October,9,2016,n,n,n,n,n,FGURA,"105,000"
Sunday,October,9,2016,n,y,n,n,n,FGURA,"195,000"
Sunday,October,9,2016,y,n,n,n,n,FGURA,"425,000"
Sunday,October,9,2016,n,n,y,n,n,FGURA,"184,000"
Sunday,October,9,2016,n,y,n,n,n,FGURA,"65,000"
Sunday,October,9,2016,n,y,y,n,n,FGURA,"143,000"
Sunday,October,9,2016,n,y,n,n,n,FGURA,"200,000"
Sunday,October,9,2016,n,n,n,n,n,FGURA,"160,000"
Sunday,October,9,2016,n,y,n,n,n,FGURA,"130,000"
Sunday,October,9,2016,n,y,n,n,n,FGURA,"202,000"
Sunday,October,9,2016,y,n,n,n,n,FGURA,"87,500"
Sunday,October,9,2016,y,y,n,n,n,FGURA,"120,000"
Sunday,October,9,2016,n,n,y,n,n, TARXIEN,"41,000"
Sunday,October,9,2016,n,n,y,n,n, TARXIEN,"58,000"
Sunday,October,9,2016,n,n,y,n,n, TARXIEN,"25,000"
Sunday,October,9,2016,y,n,n,n,n, TARXIEN,"105,000"
Sunday,October,9,2016,y,n,n,n,n,FLEUR-DE-LYS,"155,000"
Sunday,October,9,2016,n,n,n,n,n,FLORIANA,"695,000"
Sunday,October,9,2016,n,y,n,n,n,FLORIANA,"140,000"
Sunday,October,9,2016,n,n,n,n,n,FLORIANA,"175,000"
Sunday,October,9,2016,n,n,n,n,n,FLORIANA,"470,000"
Sunday,October,9,2016,n,n,n,n,n,FLORIANA,"500,000"
Sunday,October,9,2016,n,n,n,n,n,GĦARGĦUR,"495,000"
Sunday,October,9,2016,n,n,y,n,n,GĦARGĦUR,"255,000"
Sunday,October,9,2016,n,y,n,n,n,GĦARGĦUR,"255,000"
Sunday,October,9,2016,n,n,n,n,n,GĦARGĦUR,"272,300"
Sunday,October,9,2016,y,n,n,n,n,GĦARGĦUR,"194,000"
Sunday,October,9,2016,y,n,n,n,n,GĦARGĦUR,"180,000"
Sunday,October,9,2016,n,n,n,n,n,GĦARGĦUR,"275,000"
Sunday,October,9,2016,n,n,n,n,n,GĦARGĦUR,"275,000"
Sunday,October,9,2016,n,n,n,n,n,GĦARGĦUR,"279,000"
Sunday,October,9,2016,n,n,n,y,y,GĦARGĦUR,"495,000"
Sunday,October,9,2016,n,n,n,y,y,GĦARGĦUR,"495,000"
Sunday,October,9,2016,n,n,n,n,y,GĦAXAQ,"325,000"
Sunday,October,9,2016,n,n,n,n,n,GĦAXAQ,"145,000"
Sunday,October,9,2016,n,n,y,n,n,GĦAXAQ,"599,000"
Sunday,October,9,2016,n,n,n,n,n,GĦAXAQ,"118,000"
Sunday,October,9,2016,n,n,n,y,y,GĦAXAQ,NaN
Sunday,October,9,2016,y,n,y,n,n,GĦAXAQ,"132,000"
Sunday,October,9,2016,n,y,n,n,n,GOZO,"156,000"
Sunday,October,9,2016,n,n,y,y,n,GOZO,"285,000"
Sunday,October,9,2016,n,n,n,n,n,GOZO,"105,000"
Sunday,October,9,2016,y,n,n,n,n,GOZO,"93,000"
Sunday,October,9,2016,n,n,y,n,n,GOZO,"25,000"
Sunday,October,9,2016,y,n,n,y,n,GOZO,"80,000"
Sunday,October,9,2016,n,n,n,y,n,GOZO,"185,000"
Sunday,October,9,2016,y,n,n,y,y,GOZO,NaN
Sunday,October,9,2016,y,n,n,n,n,GOZO,"55,000"
Sunday,October,9,2016,n,n,n,y,n,GOZO,"325,000"
Sunday,October,9,2016,n,n,n,n,n,GOZO,"90,000"
Sunday,October,9,2016,y,n,n,n,n,GOZO,"85,000"
Sunday,October,9,2016,n,n,y,n,n,GOZO,"10,000"
Sunday,October,9,2016,n,n,y,y,n,GOZO,"375,000"
Sunday,October,9,2016,y,n,n,n,n,GOZO,"95,000"
Sunday,October,9,2016,n,n,n,y,n,GOZO,"170,000"
Sunday,October,9,2016,y,n,n,n,n,GOZO,"140,000"
