Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Friday,February,24,2017,n,n,n,n,n,NaN,NaN
Friday,February,24,2017,n,n,n,n,n,NaN,NaN
Friday,February,24,2017,y,n,n,n,n,GŻIRA,"150,000"
Friday,February,24,2017,y,n,n,n,n,SLIEMA,"298,000"
Friday,February,24,2017,y,n,n,n,n,SLIEMA,"530,000"
Friday,February,24,2017,y,n,n,n,n,SLIEMA,"195,000"
Friday,February,24,2017,n,n,n,n,n,ST JULIANS,NaN
Friday,February,24,2017,y,n,n,n,n, MADLIENA,"320,000"
Thursday,February,23,2017,n,n,n,n,n,NaN,NaN
Thursday,February,23,2017,y,n,n,n,n,GĦARGĦUR,"197,000"
Thursday,February,23,2017,y,n,n,n,n,MSIDA,"99,000"
Thursday,February,23,2017,n,n,n,n,n,QAWRA,"215,000"
Thursday,February,23,2017,n,n,n,y,n,SAN PAWL TAT-TARĠA,"750,000"
Thursday,February,23,2017,n,n,n,n,n,SLIEMA,"475,000"
Thursday,February,23,2017,n,n,n,n,n,ST JULIANS,NaN
Wednesday,February,22,2017,n,n,n,n,n,NaN,NaN
Wednesday,February,22,2017,n,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"550,000"
Wednesday,February,22,2017,n,n,y,n,y,BAĦAR IĊ-ĊAGĦAQ,"650,000"
Wednesday,February,22,2017,n,n,n,n,n,GĦARGĦUR,"425,000"
Wednesday,February,22,2017,y,n,n,n,n,GOZO,"105,000"
Wednesday,February,22,2017,n,n,n,n,n,GOZO,"176,000"
Wednesday,February,22,2017,n,n,n,n,n,GOZO,"186,500"
Wednesday,February,22,2017,n,n,n,y,n,GOZO,"600,000"
Wednesday,February,22,2017,y,n,n,n,n,GUARDAMANGIA,"132,000"
Wednesday,February,22,2017,y,n,n,n,n,GŻIRA,"190,000"
Wednesday,February,22,2017,n,n,n,n,n,KAPPARA,"675,000"
Wednesday,February,22,2017,n,n,n,n,n,MARSAXLOKK,"360,000"
Wednesday,February,22,2017,y,n,n,y,n,MELLIEĦA,"495,000"
Wednesday,February,22,2017,y,n,n,n,n,MSIDA,"99,000"
Wednesday,February,22,2017,n,n,y,y,n,SAN PAWL TAT-TARĠA,NaN
Wednesday,February,22,2017,y,n,n,n,n,SLIEMA,"270,000"
Wednesday,February,22,2017,y,n,n,n,n,SLIEMA,"180,000"
Wednesday,February,22,2017,y,n,n,n,n,ST JULIANS,"675,000"
Wednesday,February,22,2017,y,n,n,n,n,SWIEQI,"260,000"
Wednesday,February,22,2017,n,n,n,n,n,TAL-ĦANDAQ,"310,000"
Wednesday,February,22,2017,n,n,y,n,n,TAL-IBRAĠ,"28,000"
Wednesday,February,22,2017,y,n,y,n,n,TAL-IBRAĠ,"295,000"
Wednesday,February,22,2017,y,y,n,n,n,ŻABBAR,"110,000"
Tuesday,February,21,2017,n,n,n,n,n,NaN,NaN
Tuesday,February,21,2017,n,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"550,000"
Tuesday,February,21,2017,y,n,n,n,n,GUARDAMANGIA,"132,000"
Tuesday,February,21,2017,y,n,n,y,n,MELLIEĦA,"495,000"
Tuesday,February,21,2017,y,n,y,n,n,SLIEMA ,"345,000"
Tuesday,February,21,2017,y,n,n,n,n,SLIEMA,"270,000"
Tuesday,February,21,2017,n,n,n,n,n,ST JULIANS,"250,000"
Monday,February,20,2017,n,n,n,n,n,NaN,NaN
Monday,February,20,2017,n,n,n,n,n,NaN,NaN
Monday,February,20,2017,y,n,n,n,n,GUARDAMANGIA,"132,000"
Monday,February,20,2017,y,n,n,y,n,MELLIEĦA,"495,000"
Monday,February,20,2017,n,y,n,n,n,MELLIEĦA,"330,000"
