Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,January,18,2016,n,y,n,n,n,MOSTA,"165,000"
Monday,January,18,2016,n,y,n,n,y,SAN PAWL TAT-TARĠA,"266,000"
Monday,January,18,2016,n,n,n,n,n,SLIEMA,"279,000"
Sunday,January,17,2016,n,y,n,n,n, COMMISSION ONLY,NaN
Sunday,January,17,2016,n,n,n,n,n,NaN,NaN
Sunday,January,17,2016,n,n,n,n,n,NaN,NaN
Sunday,January,17,2016,n,n,n,n,n,ATTARD,"2,900"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,"319,000"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,"299,000"
Sunday,January,17,2016,n,n,y,n,n,ATTARD,NaN
Sunday,January,17,2016,y,n,n,n,n,ATTARD,"175,000"
Sunday,January,17,2016,n,n,n,y,n,ATTARD,"1,500"
Sunday,January,17,2016,n,n,y,n,n,ATTARD,"360,000"
Sunday,January,17,2016,n,y,n,n,n,ATTARD,"185,000"
Sunday,January,17,2016,y,n,n,n,n,ATTARD,"169,000"
Sunday,January,17,2016,n,y,y,n,n,ATTARD,"266,000"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,"200,000"
Sunday,January,17,2016,y,n,y,n,n,ATTARD,"230,000"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,"320,000"
Sunday,January,17,2016,y,n,n,n,n,ATTARD,"220,000"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,NaN
Sunday,January,17,2016,y,n,n,n,n,ATTARD,"167,000"
Sunday,January,17,2016,y,n,y,n,n,ATTARD,"198,000"
Sunday,January,17,2016,n,n,y,n,n,ATTARD,"360,000"
Sunday,January,17,2016,n,n,y,n,n,ATTARD,"28,000"
Sunday,January,17,2016,n,n,n,n,n,ATTARD,NaN
Sunday,January,17,2016,n,y,n,n,n,ATTARD,"185,000"
Sunday,January,17,2016,n,n,y,n,n,ATTARD,"34,500"
Sunday,January,17,2016,n,y,n,n,n,NaN,"125,000"
Sunday,January,17,2016,n,y,n,n,n,NaN,NaN
Sunday,January,17,2016,n,y,n,n,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,January,17,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,NaN
Sunday,January,17,2016,n,n,y,y,n,BAĦAR IĊ-ĊAGĦAQ,"430,000"
Sunday,January,17,2016,n,n,y,y,y,BAĦAR IĊ-ĊAGĦAQ,"970,000"
Sunday,January,17,2016,y,n,n,n,n,BAĦRIJA,"159,000"
Sunday,January,17,2016,n,n,y,n,n,BAĦRIJA,NaN
Sunday,January,17,2016,y,n,n,n,n,BAĦRIJA,"185,000"
Sunday,January,17,2016,y,n,n,n,n,BALZAN,"150,000"
Sunday,January,17,2016,n,n,y,n,n,BALZAN,"48,000"
Sunday,January,17,2016,y,y,n,n,n,BALZAN,"155,000"
Sunday,January,17,2016,n,n,n,n,n,BALZAN,"330,000"
Sunday,January,17,2016,n,n,y,y,y,BALZAN,"745,000"
Sunday,January,17,2016,n,n,y,n,y,BALZAN,"350,000"
Sunday,January,17,2016,n,n,y,y,y,BALZAN,"745,000"
Sunday,January,17,2016,n,y,y,n,n,BALZAN,"290,000"
Sunday,January,17,2016,n,y,n,n,n,BALZAN,"205,000"
Sunday,January,17,2016,y,n,y,n,n,BALZAN,"165,000"
Sunday,January,17,2016,n,n,y,n,n,BALZAN,"329,000"
Sunday,January,17,2016,n,y,n,n,y,BALZAN,"375,000"
Sunday,January,17,2016,n,n,y,y,y,BALZAN,"745,000"
Sunday,January,17,2016,n,y,n,n,n,BALZAN,"220,000"
Sunday,January,17,2016,n,n,n,n,n,BIDNIJA,"780,000"
Sunday,January,17,2016,n,n,y,y,n,BIRGUMA,NaN
Sunday,January,17,2016,n,n,n,n,n,BIRGUMA,NaN
Sunday,January,17,2016,n,n,n,n,n,BIRGUMA,NaN
Sunday,January,17,2016,n,n,n,n,n,BIRGUMA,NaN
Sunday,January,17,2016,n,n,n,y,n,BIRGUMA,"1,375"
Sunday,January,17,2016,y,n,n,n,n,BIRKIRKARA,"160,000"
Sunday,January,17,2016,n,y,n,n,n,BIRKIRKARA,"189,000"
Sunday,January,17,2016,y,n,n,n,n,BIRKIRKARA,"210,000"
Sunday,January,17,2016,y,n,y,n,n,BIRKIRKARA,"160,000"
Sunday,January,17,2016,y,n,n,n,n,BIRKIRKARA,NaN
Sunday,January,17,2016,n,n,y,n,n,BIRKIRKARA,"330,000"
Sunday,January,17,2016,n,n,n,n,n,BIRKIRKARA,"295,000"
Sunday,January,17,2016,n,y,n,n,n,BIRKIRKARA,"150,000"
Sunday,January,17,2016,n,n,n,n,n,BIRKIRKARA,"116,000"
Sunday,January,17,2016,n,n,y,n,n,BIRKIRKARA,"175,000"
Sunday,January,17,2016,n,y,y,n,n,BIRKIRKARA,"169,000"
Sunday,January,17,2016,y,n,n,n,n,BIRKIRKARA,"145,000"
