Day_of_week,Month,Day_of_month,Year,Apartment,Maisonette,Garage,Pool,Garden,City,Price
Monday,September,7,2015,n,n,n,n,n,NaN,NaN
Monday,September,7,2015,y,n,n,n,n,GOZO,"105,000"
Monday,September,7,2015,n,n,y,n,n,GOZO,"220,000"
Monday,September,7,2015,n,y,y,n,n,LIJA,"199,000"
Monday,September,7,2015,n,n,n,n,n,MOSTA,"275,000"
Sunday,September,6,2015,n,n,n,n,n,NaN,NaN
Sunday,September,6,2015,n,n,n,n,n,NaN,NaN
Sunday,September,6,2015,y,n,n,n,n,NaN,NaN
Sunday,September,6,2015,n,n,y,n,y,ATTARD,"680,000"
Sunday,September,6,2015,y,n,n,n,n,ATTARD,"175,000"
Sunday,September,6,2015,n,n,n,y,n,ATTARD,NaN
Sunday,September,6,2015,y,n,n,n,n,ATTARD,"215,000"
Sunday,September,6,2015,n,y,y,n,n,ATTARD,"210,000"
Sunday,September,6,2015,n,n,n,y,n,ATTARD,"895,000"
Sunday,September,6,2015,y,n,y,n,n,ATTARD,"225,000"
Sunday,September,6,2015,n,n,y,n,n,ATTARD,"165,000"
Sunday,September,6,2015,n,n,n,n,n,ATTARD,"145,000"
Sunday,September,6,2015,n,y,y,n,n,ATTARD,"265,000"
Sunday,September,6,2015,n,n,n,n,n,ATTARD,"270,000"
Sunday,September,6,2015,n,n,n,n,n,ATTARD,"385,000"
Sunday,September,6,2015,n,n,y,n,n,ATTARD,"511,000"
Sunday,September,6,2015,y,n,n,n,n,ATTARD,"211,000"
Sunday,September,6,2015,n,n,n,n,n,ATTARD,"270,000"
Sunday,September,6,2015,n,n,y,n,n,ATTARD,"339,000"
Sunday,September,6,2015,n,n,y,n,n,ATTARD,"440,000"
Sunday,September,6,2015,n,n,y,n,n,ATTARD,NaN
Sunday,September,6,2015,n,n,y,y,y,ATTARD,"500,000"
Sunday,September,6,2015,n,n,n,n,n,ATTARD,"305,000"
Sunday,September,6,2015,n,y,n,n,n,NaN,NaN
Sunday,September,6,2015,n,n,y,n,n,BAĦAR IĊ-ĊAGĦAQ,"689,000"
Sunday,September,6,2015,n,n,n,n,n,BAĦAR IĊ-ĊAGĦAQ,"132,000"
